# name                   RA(J2000)     Dec(J2000)    z      r    tier  exposure    status  comment
P22420                 10:01:10.21  +29:11:37.5  0.556  17.6 D2   2 x 4 min   backup  brightening, last spec 8.6 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.99, P(continuum brightened) = 0.63; optical brighter by 1.10 mag since the 10447-58143-52 spectrum (ZTF vs synthetic); W1 brightened 1.75 mag 2014-24; W1-W2 redder by 0.13; W1 amplitude 2.94 mag; manifold prior P_hb 0.24, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 4.592
P15699                 08:04:13.20  +30:51:16.8  0.142  17.4 D2   2 x 4 min   backup  brightening, last spec 24.6 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.97, P(continuum brightened) = 0.70; optical brighter by 1.27 mag since the 860-52319-374 spectrum (ZTF vs synthetic); W1 brightened 0.58 mag 2014-24; W1 amplitude 0.71 mag; manifold prior P_hb 0.15, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 4.467
J090315.11+010623.1    09:03:15.11  +01:06:23.1  0.122  18.1 K    2 x 4 min   backup  flat/unknown, last spec 0.5 yr ago; Zeltyn+2024 object | WHY: KNOWN changer (Zeltyn CL-AGN): ZTF r moved -0.44 mag since the last spectrum; W1 slope +0.01 mag/yr; last spectrum 0.5 yr ago; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 4.126
P20040                 09:03:15.11  +01:06:23.1  0.122  18.1 K    2 x 4 min   backup  brightening, last spec 0.5 yr ago; DR16 quasar | WHY: KNOWN changer (nan) with recent photometric motion; optical brighter by 0.32 mag since the 471-51924-299 spectrum (ZTF vs synthetic); W1 faded 0.39 mag 2014-24; W1-W2 bluer by 0.25; W1 amplitude 0.69 mag; manifold prior P_hb 0.19, direction turn-off-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 4.092
P22740                 10:02:56.22  +47:50:27.7  0.391  17.9 K    2 x 4 min   backup  brightening, last spec 13.6 yr ago; DR16 quasar | WHY: KNOWN changer (nan) with recent photometric motion; optical brighter by 0.82 mag since the 6663-56338-756 spectrum (ZTF vs synthetic); W1 brightened 0.38 mag 2014-24; W1-W2 redder by 0.10; W1 amplitude 0.70 mag; log Edd -2.00; manifold prior P_hb 0.07, direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 4.048
P25356                 10:52:29.01  +46:20:11.7  0.446  18.1 D2   2 x 4 min   backup  brightening, last spec 13.4 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.85, P(continuum brightened) = 0.42; optical brighter by 1.10 mag since the 6664-56383-360 spectrum (ZTF vs synthetic); W1 brightened 0.27 mag 2014-24; manifold prior P_hb 0.01, direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.937
P18305                 08:49:50.49  +07:19:22.9  0.704  17.9 D2   2 x 4 min   backup  brightening, last spec 14.7 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.91, P(continuum brightened) = 0.66; optical brighter by 1.34 mag since the 4867-55924-622 spectrum (ZTF vs synthetic); W1 brightened 0.45 mag 2014-24; W1-W2 redder by 0.09; W1 amplitude 0.82 mag; log Edd -1.68; manifold prior P_hb 0.05, direction neutral; oct26: x1.0 moon, 9 min + 5 overhead -> yield/h 3.898
G2641525895965206528   10:20:38.50  +24:37:08.3  0.189  17.5 D2   2 x 4 min   backup  brightening, last spec nan yr ago; turn-on arm: SDSS narrow-line AGN galaxy | WHY: TURN-ON candidate (galaxy parent, AGN, z=0.189): W1 brightened 0.85 mag and W2 1.00 mag 2014-24 (39/47 sigma); ZTF g brighter than the archival spectrum by 1.03 mag (host-offset corrected), ZTF amplitude 1.86; W1-W2 reddened by +0.16 (nucleus emerging); score 0.84 = literature success rate of this trigger set; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.877
P18893                 09:11:18.61  +62:46:40.0  0.166  17.3 D2   2 x 4 min   backup  brightening, last spec 18.7 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.84, P(continuum brightened) = 0.42; optical brighter by 1.02 mag since the 1786-54450-540 spectrum (ZTF vs synthetic); W1 brightened 0.18 mag 2014-24; W1 amplitude 0.43 mag; manifold prior P_hb 0.19, direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.877
G2193349557516003328   09:51:37.27  +34:16:12.3  0.132  18.2 D2   2 x 4 min   backup  brightening, last spec nan yr ago; turn-on arm: SDSS narrow-line AGN galaxy | WHY: TURN-ON candidate (galaxy parent, AGN, z=0.132): W1 brightened 0.74 mag and W2 1.05 mag 2014-24 (23/33 sigma); ZTF g brighter than the archival spectrum by 0.49 mag (host-offset corrected), ZTF amplitude 1.54; W1-W2 reddened by +0.30 (nucleus emerging); score 0.84 = literature success rate of this trigger set; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.877
G2728138282138363904   08:17:26.42  +10:12:10.1  0.046  16.4 D2   2 x 4 min   backup  brightening, last spec nan yr ago; turn-on arm: SDSS narrow-line AGN galaxy | WHY: TURN-ON candidate (galaxy parent, AGN, z=0.046): W1 brightened 0.20 mag and W2 0.41 mag 2014-24 (17/36 sigma); ZTF g brighter than the archival spectrum by 1.07 mag (host-offset corrected), ZTF amplitude 1.42; W1-W2 reddened by +0.21 (nucleus emerging); score 0.84 = literature success rate of this trigger set; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.877
