WAVE_VAC_HELIO_A,FLUX,FLUX_ERR,FLUX_UNCORR,ERR_UNCORR,TELLURIC,TELLURIC_ERR,FLUX_ALTSTD,MASK,QUALITY,CHANNEL
9120.836830255234,22.881958838433583,0.461917332822273,22.35467567837459,0.43550054835892915,0.9769563801865886,0.00516849337787238,15.890955304415606,True,4,I
9122.965964093362,25.55619224187821,0.46273104225156164,25.55619224187821,0.46273104225156164,1.0,0.0,17.756733384885752,True,4,I
9125.09542255493,26.375831005863642,0.47974825347872285,26.375831005863642,0.47974825347872285,1.0,0.0,18.334680299040834,True,4,I
9127.224066353867,25.86840805601722,0.47714391982835874,25.86840805601722,0.47714391982835874,1.0,0.0,17.98970354194905,True,4,I
9129.352343136647,22.97622898507283,0.453047072236472,22.96598007161458,0.4506321074734129,0.9995539340478846,0.0019460695172105382,15.984670167698498,True,4,I
9131.480859530355,20.647501891194995,0.4540884055702776,20.27266421687603,0.4202489063143461,0.9818458583370412,0.0072110789952383545,14.369557723258632,True,4,I
9133.609670515743,20.63905104953889,0.4668210100435484,19.622213399661042,0.4190778755385266,0.9507323448429299,0.007079865717865708,14.367912168347615,True,4,I
9135.737356907337,19.98547153743411,0.4567345905320333,19.3326216143396,0.4180734035188317,0.9673337743434437,0.0071492368067472434,13.916179695436918,True,4,I
9137.865069286794,18.919346264777957,0.461699137729832,17.20699410775453,0.3991166669296837,0.9094920018345821,0.006897994835185152,13.176011361681477,True,4,I
9139.99401709571,20.763828093198892,0.46722097755334613,19.406238206144362,0.42233529856865687,0.93461755313322,0.005344780747085869,14.461877350379044,True,4,I
9142.121324757725,22.306746460530377,0.4479348296425688,22.306746460530377,0.4479348296425688,1.0,0.0,15.536629962354617,True,4,I
9144.248917346427,22.368052554656586,0.4550746864864162,22.368052554656586,0.4550746864864162,1.0,0.0,15.578038772142204,True,4,I
9146.376151215078,21.02673888673825,0.44313011148545794,21.02673888673825,0.44313011148545794,1.0,0.0,14.641241633124444,True,4,I
9148.502750942725,22.516518512632814,0.45289330384123583,22.516518512632814,0.45289330384123583,1.0,0.0,15.674136553251104,True,4,I
9150.630281077953,20.596148890391678,0.4399390927078007,20.596148890391678,0.4399390927078007,1.0,0.0,14.332022778087325,True,4,I
9152.756979605063,19.43818337355773,0.46576705077895036,18.853975805692304,0.43928995107747626,0.9699453618356054,0.005424766677082429,13.52042450256729,True,4,I
9154.883223546143,17.64281777691618,0.5002649443046281,15.004078385003835,0.4093838249218647,0.8504354902217001,0.006562853895359248,12.265726853769308,True,4,I
9157.009763396869,18.277769725556,0.5190853347597391,14.615725113411928,0.3986291935729279,0.7996448873615146,0.006330791027692992,12.700469066815176,True,4,I
9159.136265200172,18.341441529275116,0.4533966959677698,17.34830751707144,0.4093850430767373,0.9458530012148437,0.006963661352881827,12.737515898758215,True,4,I
9161.262350568586,19.041818318281774,0.4528623344868337,19.00458372126822,0.450872482602951,0.9980445881590098,0.0016582369378421128,13.21602978837713,True,4,I
9163.388609493715,18.574288041330913,0.4581943082788277,18.574288041330913,0.4581943082788277,1.0,0.0,12.883552063745759,True,4,I
9165.515887820233,19.398557898632177,0.45362430024419137,19.398557898632177,0.45362430024419137,1.0,0.0,13.446712582429651,True,4,I
9167.640339246927,19.274315521816163,0.42429555174508954,19.274315521816163,0.42429555174508954,1.0,0.0,13.351955273897023,True,4,I
9169.766117428102,17.539902483055968,0.393910875948926,17.539902483055968,0.393910875948926,1.0,0.0,12.142571687608536,True,4,I
9171.891192680829,16.832702770516583,0.3859357590848947,16.832702770516583,0.3859357590848947,1.0,0.0,11.645459899762967,True,4,I
9174.01666701464,16.505032172014435,0.3975600989258972,15.611063906177133,0.36610661734123445,0.9458366238538394,0.0051986036818308405,11.41150644047414,True,4,I
9176.141791855365,16.80584242376408,0.4495616028533115,13.238586691610738,0.33897119826820304,0.7877371665041254,0.006100478387501463,11.61230276776172,True,4,I
9178.266092188245,17.460568490661444,0.44631609903365166,14.090485847364947,0.34368836062789676,0.8069889508409224,0.006168983240499612,12.057536849933612,True,4,I
9180.39045009462,16.49953100203428,0.39876388257248785,15.702632750279266,0.362596761531906,0.9517017634224413,0.006788909051356716,11.387477531939288,True,4,I
9182.515336496994,17.001360220007978,0.37590463157176246,16.961018066717877,0.37401346126393215,0.9976271220203531,0.001609125160124986,11.727673432078014,True,4,I
9184.639602549454,16.644418148614342,0.3827085780237267,16.51209202622702,0.369271039837649,0.9920498198731964,0.0053010871141472215,11.475952932475934,True,4,I
9186.763679839572,16.51438332538801,0.40200018921504965,15.22259098386702,0.35425214559181395,0.9217777427065604,0.0065823101335648225,11.381435308368209,True,4,I
9188.887684982283,16.738296078760683,0.3734389168534495,16.356013274775165,0.3640421505799055,0.9771611876031635,0.0015026724848766827,11.531506763551603,True,4,I
9191.011915383313,16.886531260873312,0.3671456908390047,16.886531260873312,0.3671456908390047,1.0,0.0,11.630113952774371,True,4,I
9193.135493279557,16.532245385926043,0.3648373309847917,16.532245385926043,0.3648373309847917,1.0,0.0,11.383493861285048,True,4,I
9195.258585339107,16.48018065747444,0.3742151791048248,16.2402044046299,0.35870116115678646,0.9854384937985676,0.005192171988754709,11.3458667969485,True,4,I
9197.382212031082,16.257556361101,0.398331482454206,14.664574087218664,0.3438251240915373,0.9020158848906827,0.006416432401988507,11.191430717211805,True,4,I
9199.504956179653,16.806460180576597,0.38755851574466477,16.211800233808706,0.35661283335671057,0.9646171805140059,0.006675734280556732,11.568581744556287,True,4,I
9201.628109768515,17.03090514965051,0.36722383001343906,16.994058501984536,0.36545218681583047,0.9978364833024315,0.001570228673283853,11.72285648035416,True,4,I
9203.750649187148,17.319521489073168,0.37204069440212323,17.319521489073168,0.37204069440212323,1.0,0.0,11.921778078620022,True,4,I
9205.873277657873,16.644520405922265,0.3661455620884151,16.644520405922265,0.3661455620884151,1.0,0.0,11.457842670612257,True,4,I
9207.995851951355,15.085077505119951,0.36003069152704376,15.054526961353105,0.3505315149367795,0.9979747837718117,0.005230356243861506,10.385367926748145,True,4,I
9210.118221627345,14.986645758401066,0.3673137145585435,14.77764572578522,0.34767395459529343,0.9860542488302503,0.006773705995707968,10.318989984582299,True,4,I
9212.240359669166,15.474522528142687,0.35459259649204,15.412427529427642,0.35233912553164193,0.9959872753035115,0.0015643247867889087,10.656716538305954,True,4,I
9214.362210048055,14.94995682596003,0.3521733839979077,14.94995682596003,0.3521733839979077,1.0,0.0,10.297548220666881,True,4,I
9216.48371588037,14.758441574581617,0.3804210166753507,14.136189294119584,0.3565171813251767,0.9578375347208925,0.005101853338940085,10.168005946442813,True,4,I
9218.605062967841,15.795646755396294,0.4106817187744898,14.784126734294368,0.36990969678251423,0.9359621016621963,0.0066146839688481915,10.885469513985775,True,4,I
9220.726535674794,15.48985330884267,0.38272066487951756,15.25031388540597,0.37605597971134624,0.9845357203415247,0.0015301455889487957,10.677852479392953,True,4,I
9222.847757681653,15.503616988184493,0.3689986349359495,15.503616988184493,0.3689986349359495,1.0,0.0,10.690749794788944,True,4,I
9224.968685265532,16.04139001782592,0.3858696457313946,16.04139001782592,0.3858696457313946,1.0,0.0,11.065390461125729,True,4,I
9227.090126665926,15.034552635509982,0.39192902530210094,15.034552635509982,0.39192902530210094,1.0,0.0,10.374694377749885,True,4,I
9229.211046536615,15.951893961771596,0.39696249226354097,15.951893961771596,0.39696249226354097,1.0,0.0,11.012016689999344,True,4,I
9231.33120145759,14.946484894810787,0.3668578722311582,14.946484894810787,0.3668578722311582,1.0,0.0,10.322205146650319,True,4,I
9233.451091991286,14.791626664394018,0.35546985916347845,14.791626664394018,0.35546985916347845,1.0,0.0,10.219663100890635,True,4,I
9235.571374096808,14.840432340743906,0.35620937852436446,14.840432340743906,0.35620937852436446,1.0,0.0,10.257990397291577,True,4,I
9237.690994740124,14.728504373353914,0.35589662621444723,14.728504373353914,0.35589662621444723,1.0,0.0,10.185364129790358,True,4,I
9239.81116068816,14.719251120501443,0.3652162928935405,14.679763099091987,0.35551885396575517,0.9973172533652575,0.005381540436615356,10.183858290701384,True,4,I
9241.930475224568,14.736986420365417,0.3575132820826274,14.725077911293477,0.3564247493888477,0.9991919305119612,0.0016209893506264007,10.20116538705327,True,4,I
9244.049964008262,15.711272291736865,0.36289075620012523,15.711272291736865,0.36289075620012523,1.0,0.0,10.88108297080882,True,4,I
9246.168531009424,15.348972599070478,0.36181019192759606,15.348972599070478,0.36181019192759606,1.0,0.0,10.635653664071343,True,4,I
9248.28793362846,15.214295891946561,0.3720326055230663,15.214295891946561,0.3720326055230663,1.0,0.0,10.547871514591652,True,4,I
9250.406504293804,15.833026205679136,0.3875216549980169,15.833026205679136,0.3875216549980169,1.0,0.0,10.982674916875597,True,4,I
9252.52605429939,16.49944327115116,0.4003200605457807,16.49944327115116,0.4003200605457807,1.0,0.0,11.451105482769407,True,4,I
9254.643318247534,15.93148158779975,0.3927478696598066,15.93148158779975,0.3927478696598066,1.0,0.0,11.062922599354714,True,4,I
9256.761924383616,17.078109081410005,0.3994909136903122,17.078109081410005,0.3994909136903122,1.0,0.0,11.86562206156396,True,4,I
9258.880259337167,16.269760661971446,0.3918062576186409,16.269760661971446,0.3918062576186409,1.0,0.0,11.31017978888859,True,4,I
9260.998478206562,15.17535709703561,0.3777420591875387,15.17535709703561,0.3777420591875387,1.0,0.0,10.55516062934567,True,4,I
9263.116017288325,14.921187564300304,0.37793714343757695,14.921187564300304,0.37793714343757695,1.0,0.0,10.384035129568515,True,4,I
9265.23290802488,15.435704312698439,0.38906853572500516,15.435704312698439,0.38906853572500516,1.0,0.0,10.747925458687458,True,4,I
9267.352937073936,16.073228512663743,0.3980665541781197,16.073228512663743,0.3980665541781197,1.0,0.0,11.19786220135556,True,4,I
9269.480567766394,16.519271253039594,0.39624478400340085,16.519271253039594,0.39624478400340085,1.0,0.0,11.514759175968111,True,4,I
9271.607567614908,18.46325018390726,0.41796114150269503,18.46325018390726,0.41796114150269503,1.0,0.0,12.876585312006634,True,4,I
