cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
1,0.897596,127.524008,358.06158333,0.85091666667,358.0617811,0.8507648,23h52m14.83s,00d51m02.75s,57368.64160316,16.191,0.305,15.054,,10,0000,J235214.78+005103.3
1,0.898849,176.701728,358.06158333,0.85091666667,358.0615977,0.8506674,23h52m14.78s,00d51m02.40s,60115.99650096,16.309,0.344,15.174,0.519,10,0000,J235214.78+005103.3
1,0.926271,-67.555462,358.06158333,0.85091666667,358.0613455,0.8510149,23h52m14.72s,00d51m03.65s,58816.09688514,16.441,0.367,15.105,,10,0000,J235214.78+005103.3
1,0.93391,-90.61106,358.06158333,0.85091666667,358.0613239,0.8509139,23h52m14.72s,00d51m03.29s,57193.67146288,16.593,0.368,15.438,,5,0000,J235214.78+005103.3
1,0.935361,158.634794,358.06158333,0.85091666667,358.061678,0.8506747,23h52m14.80s,00d51m02.43s,59748.66411847,16.284,0.382,15.029,0.529,10,0000,J235214.78+005103.3
1,0.940873,157.561677,358.06158333,0.85091666667,358.0616831,0.8506751,23h52m14.80s,00d51m02.43s,59020.641002,15.999,0.235,14.644,,5,0000,J235214.78+005103.3
1,0.953487,90.706683,358.06158333,0.85091666667,358.0618482,0.8509134,23h52m14.84s,00d51m03.29s,58652.9840233,15.799,0.196,15.265,,10,0000,J235214.78+005103.3
1,0.969502,-76.35443,358.06158333,0.85091666667,358.0613216,0.8509802,23h52m14.72s,00d51m03.53s,59546.46509528,16.117,0.234,15.183,0.453,10,0000,J235214.78+005103.3
1,0.979265,-45.890462,358.06158333,0.85091666667,358.061388,0.851106,23h52m14.73s,00d51m03.98s,58653.37660565,16.084,0.266,14.682,,5,0000,J235214.78+005103.3
1,1.018502,-166.73306,358.06158333,0.85091666667,358.0615184,0.8506413,23h52m14.76s,00d51m02.31s,57367.9203581,16.061,0.234,15.256,,10,0000,J235214.78+005103.3
1,1.050665,134.309088,358.06158333,0.85091666667,358.0617922,0.8507128,23h52m14.83s,00d51m02.57s,59547.05314182,15.943,0.201,15.016,,10,0000,J235214.78+005103.3
1,1.052834,-69.371557,358.06158333,0.85091666667,358.0613096,0.8510197,23h52m14.71s,00d51m03.67s,59020.44490191,15.563,0.163,14.956,,10,0000,J235214.78+005103.3
1,1.056748,-154.554769,358.06158333,0.85091666667,358.0614572,0.8506516,23h52m14.75s,00d51m02.35s,58653.83451242,16.383,0.358,14.437,,10,0000,J235214.78+005103.3
1,1.064651,-50.870156,358.06158333,0.85091666667,358.0613539,0.8511033,23h52m14.72s,00d51m03.97s,58289.65484618,15.76,0.208,14.795,,5,0000,J235214.78+005103.3
1,1.077186,76.405015,358.06158333,0.85091666667,358.0618742,0.850987,23h52m14.85s,00d51m03.55s,59749.05555486,16.01,0.396,14.793,,10,0000,J235214.78+005103.3
1,1.0781,-0.924663,358.06158333,0.85091666667,358.0615785,0.8512161,23h52m14.78s,00d51m04.38s,59020.57567774,16.193,0.316,14.213,,10,0000,J235214.78+005103.3
1,1.080567,-94.330865,358.06158333,0.85091666667,358.061284,0.850894,23h52m14.71s,00d51m03.22s,58815.57365352,16.16,0.325,14.452,,5,0000,J235214.78+005103.3
1,1.086429,99.742173,358.06158333,0.85091666667,358.0618808,0.8508656,23h52m14.85s,00d51m03.12s,57009.12641234,16.26,0.342,15.318,,10,0000,J235214.78+005103.3
1,1.092088,106.049107,358.06158333,0.85091666667,358.0618749,0.8508328,23h52m14.85s,00d51m03.00s,57367.65804084,16.002,0.241,15.331,,10,0000,J235214.78+005103.3
1,1.092591,97.738519,358.06158333,0.85091666667,358.0618841,0.8508758,23h52m14.85s,00d51m03.15s,58815.57352616,16.368,0.438,14.823,,10,0000,J235214.78+005103.3
1,1.147276,-100.937398,358.06158333,0.85091666667,358.0612704,0.8508562,23h52m14.70s,00d51m03.08s,59182.5866565,16.228,0.286,14.719,,10,0000,J235214.78+005103.3
1,1.148047,14.650569,358.06158333,0.85091666667,358.061664,0.8512252,23h52m14.80s,00d51m04.41s,58815.37729354,15.943,0.201,15.383,0.444,5,0000,J235214.78+005103.3
1,1.177921,157.625262,358.06158333,0.85091666667,358.0617079,0.8506141,23h52m14.81s,00d51m02.21s,59384.74993882,16.342,,14.352,0.336,10,0000,J235214.78+005103.3
1,1.189182,14.688159,358.06158333,0.85091666667,358.0616671,0.8512362,23h52m14.80s,00d51m04.45s,59020.90268113,16.314,0.289,14.726,,10,0000,J235214.78+005103.3
