cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
37,0.464323,-131.343633,132.50489,46.433491,132.5047495,46.4334058,08h50m01.14s,46d26m00.26s,58782.95909547,14.256,0.111,13.945,0.234,10,0000,P18140
37,0.467645,-71.554975,132.50489,46.433491,132.5047112,46.4335321,08h50m01.13s,46d26m00.72s,59146.51792984,14.764,0.114,14.071,0.157,10,0000,P18140
37,0.47331,158.827498,132.50489,46.433491,132.5049589,46.4333684,08h50m01.19s,46d26m00.13s,60399.57611375,14.401,0.077,13.669,0.116,10,0000,P18140
37,0.473928,34.031032,132.50489,46.433491,132.5049969,46.4336001,08h50m01.20s,46d26m00.96s,60035.32115513,14.515,0.08,14.128,0.227,10,0000,P18140
37,0.476196,136.217422,132.50489,46.433491,132.5050228,46.4333955,08h50m01.21s,46d26m00.22s,58415.22292293,14.574,0.077,13.744,0.174,10,0000,P18140
37,0.478568,-56.692006,132.50489,46.433491,132.5047288,46.433564,08h50m01.13s,46d26m00.83s,59511.33637892,14.767,0.106,13.77,0.19,10,0000,P18140
37,0.479883,-147.963016,132.50489,46.433491,132.5047874,46.433378,08h50m01.15s,46d26m00.16s,59668.29503968,14.559,0.124,13.935,0.145,10,0000,P18140
37,0.480119,70.052023,132.50489,46.433491,132.5050719,46.4335365,08h50m01.22s,46d26m00.73s,58782.56664035,14.876,0.126,14.125,0.158,10,0000,P18140
37,0.482636,-99.055123,132.50489,46.433491,132.5046979,46.4334699,08h50m01.13s,46d26m00.49s,60399.6399101,14.763,0.101,13.854,0.132,10,0000,P18140
37,0.483376,-117.885745,132.50489,46.433491,132.5047178,46.4334282,08h50m01.13s,46d26m00.34s,58783.08987143,14.943,0.106,14.058,0.231,10,0000,P18140
37,0.484507,80.678149,132.50489,46.433491,132.5050827,46.4335128,08h50m01.22s,46d26m00.65s,59515.97657058,14.589,0.093,14.058,0.182,10,0000,P18140
37,0.485138,-159.71163,132.50489,46.433491,132.5048222,46.4333646,08h50m01.16s,46d26m00.11s,57484.60855,14.898,0.098,13.778,0.113,10,0000,P18140
37,0.49361,10.074001,132.50489,46.433491,132.5049248,46.433626,08h50m01.18s,46d26m01.05s,58572.82289674,14.598,0.072,13.84,0.16,10,0000,P18140
37,0.49712,-78.301053,132.50489,46.433491,132.5046938,46.433519,08h50m01.13s,46d26m00.67s,59511.00963005,14.575,0.076,13.539,0.234,10,0000,P18140
