source_index,source_label,spectrum_role,object_name,ra_deg,dec_deg,spectrum_type,measurement_method,estimator_definition,bandpass,wavelength_um,wavelength_half_width_um,flux_mjy,flux_err_mjy,flux_raw_mjy,background_subtracted_mjy,background_mean_mjy_sr,ab_mag,ab_mag_err,global_background_wavelength_um,global_background_flux_mjy_per_display_pixel,global_background_flux_err_mjy_per_display_pixel,global_background_surface_brightness_mjysr,global_background_surface_brightness_err_mjysr,global_background_selected_pixels,global_background_selection_method,variance_ap_mjy2,variance_bg_mjy2,covariance_aperture_background_mjy2,variance_measurement_mjy2,variance_calibration_mjy2,variance_total_mjy2,uncertainty_method,uncertainty_draws,is_binned,n_fluxes_combined,n_images,image_names,mjds,aperture_radius_pix,aperture_radius_arcsec,local_background,annulus_inner_radius_pix,annulus_outer_radius_pix,annulus_inner_arcsec,annulus_outer_arcsec,background_median_mjy_per_pix,flag_names,flag_values,annulus_flag_names,annulus_flag_values,mask_mode,n_aperture_pixels,n_annulus_pixels,aperture_valid_area_sr,annulus_valid_area_sr,aperture_coverage,annulus_coverage,annulus_asymmetry,incomplete_aperture,incomplete_annulus,asymmetric_annulus,saturated_or_nonlinear,aperture_centroid_dra_arcsec,aperture_centroid_ddec_arcsec,annulus_centroid_dra_arcsec,annulus_centroid_ddec_arcsec,plausible_gaia_match,gaia_source_id,gaia_match_sep_arcsec,gaia_parallax_mas,gaia_parallax_error_mas,gaia_pmra_masyr,gaia_pmdec_masyr,gaia_bp_rp,gaia_g_mag,gaia_bp_mag,gaia_rp_mag
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.65714,0.03776,6.1055,0.14590,8.0324,,,14.436,0.026,,,,,,,,0.0062272,0.00033784,0.000094150,0.0063767,0.014911,0.021288,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W02_1A_0290_1D4_spx_l2b-v23-2026-009.fits,61046.43629100,1.75,10.67,true,3.00,7.00,,,0.20415,SOURCE:21,2097152:21,,,mask_explicit_bits=499834615,21,159,,,1,,,false,false,false,false,-0.097,0.058,-4.068,-0.800,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.67997,0.03820,6.3580,0.14963,7.9635,,,14.392,0.026,,,,,,,,0.0061700,0.00021771,0.000083821,0.0062201,0.016169,0.022389,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W52_2A_0077_1D4_spx_l2b-v22-2026-006.fits,61034.82399100,1.75,10.67,true,3.00,7.00,,,0.17009,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,16,157,,,0.9999999999999998,,,false,false,false,false,-0.265,-0.117,-6.834,-6.451,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.71399,0.03827,6.3003,0.15028,8.0921,,,14.402,0.026,,,,,,,,0.0065455,0.00032597,0.000082964,0.0067055,0.015878,0.022583,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W27_1A_0133_2D4_spx_l2b-v25-2026-185.fits,61220.74825700,1.75,10.67,true,3.00,7.00,,,0.18972,SOURCE:20,2097152:20,,,mask_explicit_bits=499834615,19,159,,,1,,,false,false,false,false,-0.247,0.222,0.875,3.550,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.75206,0.03996,6.3511,0.15192,7.8783,,,14.393,0.026,,,,,,,,0.0065744,0.00023922,-0.000066305,0.0069463,0.016135,0.023081,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W52_2A_0077_2D4_spx_l2b-v22-2026-006.fits,61034.82548300,1.75,10.67,true,3.00,7.00,,,0.16185,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,16,155,,,1,,,false,false,false,false,0.130,-0.229,-6.695,-3.641,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.75284,0.03893,5.9763,0.14309,7.5973,,,14.459,0.026,,,,,,,,0.0060848,0.00024699,0.000071806,0.0061882,0.014286,0.020475,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W27_2A_0170_1D4_spx_l2b-v20-2025-259.fits,60860.24408700,1.75,10.67,true,3.00,7.00,,,0.17163,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,16,162,,,1,,,false,false,false,false,0.070,0.192,-3.528,-1.648,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.78727,0.03909,6.6317,0.15853,8.3469,,,14.346,0.026,,,,,,,,0.0069434,0.00021610,-0.00018985,0.0075393,0.017592,0.025131,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W27_1A_0133_3D4_spx_l2b-v25-2026-185.fits,61220.74974900,1.75,10.67,true,3.00,7.00,,,0.18174,SOURCE:20,2097152:20,,,mask_explicit_bits=499834615,17,161,,,1,,,false,false,false,false,-0.203,0.011,-0.152,-4.456,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.82675,0.04165,6.5843,0.15705,8.0924,,,14.354,0.026,,,,,,,,0.0066964,0.00025910,-0.00018477,0.0073251,0.017341,0.024666,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W52_2A_0077_3D4_spx_l2b-v22-2026-006.fits,61034.82697600,1.75,10.67,true,3.00,7.00,,,0.15980,SOURCE:19,2097152:19,,,mask_explicit_bits=499834615,19,159,,,0.9999999999999998,,,false,false,false,false,0.004,-0.242,-2.708,-0.308,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.82729,0.04011,6.3014,0.15150,7.8931,,,14.401,0.026,,,,,,,,0.0063073,0.00023466,-0.00026349,0.0070690,0.015883,0.022952,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W27_2A_0170_2D4_spx_l2b-v20-2025-259.fits,60860.24558000,1.75,10.67,true,3.00,7.00,,,0.16896,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,18,159,,,1,,,false,false,false,false,-0.377,0.212,-0.794,-3.631,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.90380,0.04206,6.5761,0.15413,8.2483,,,14.355,0.025,,,,,,,,0.0064777,0.00022654,0.00012324,0.0064578,0.017298,0.023756,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W01_1A_0645_1D4_spx_l2b-v22-2026-007.fits,61041.13889400,1.75,10.67,true,3.00,7.00,,,0.17723,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,17,161,,,1,,,false,false,false,false,-0.188,-0.224,-7.392,-2.069,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.90446,0.04192,6.2754,0.14752,7.8272,,,14.406,0.026,,,,,,,,0.0061296,0.00022281,0.00017130,0.0060099,0.015752,0.021762,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W27_2A_0170_3D4_spx_l2b-v20-2025-259.fits,60860.24707200,1.75,10.67,true,3.00,7.00,,,0.16442,SOURCE:19,2097152:19,,,mask_explicit_bits=499834615,17,164,,,1.0000000000000002,,,false,false,false,false,-0.040,0.269,0.698,-3.096,false,,,,,,,,,,
