name,class_zeltyn,z,ra,dec,is_clagn,umap_x,umap_y,fvar_w1,mean_w1_mjy,projected,clagn_score,in_region_zeltyn,in_region_clagn,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,class_change_flag,broadline_change_flag,last_class,last_subclass,r_nmgy_last_sdssv,mjd_last_sdssv,r_mag_last_sdssv
J222515.86+212758.3,CL-AGN,0.882035,336.3160833333333,21.466194444444444,True,8.476186,2.2073553,0.0642278801476405,0.0798780402470048,True,0.1,True,False,4,3,1,56960.0,59523.11213184,4.828615403492094,False,False,QSO,,,,
J025515.09+003740.5,CL-AGN,1.012572,43.812875,0.6279166666666667,True,9.81169,1.9835229,0.1264604705685368,0.0989146520114565,True,0.08,True,False,8,8,0,52614.0,59886.0,3.835082568009538,False,False,?,,1.250252,59193.0,22.257506105121564
J012025.45+142727.9,CL-AGN,0.263752,20.106041666666663,14.45775,True,7.7496986,1.7996728,0.0630125110063822,0.3873539762802495,True,0.06,True,False,7,6,1,56211.0,59503.31481761,4.88281749583979,False,True,GALAXY,,11.53658,59219.0,19.84480729494851
J015957.64+003310.5,CL-AGN,0.31205,29.990166666666667,0.5529166666666667,True,7.6825237,1.2376419,0.059508852104364,0.2654017403341808,True,0.06,True,False,12,11,1,51871.0,59497.38171448,4.899061446914404,False,False,GALAXY,,18.25709,59221.0,19.346421108851967
J080838.73+273252.4,CL-AGN,0.47762,122.16137499999998,27.54788888888889,True,7.0812283,1.4245311,0.0426144072532136,0.2463129505833285,True,0.06,True,False,6,6,0,55858.0,59254.0,5.565404265477026,False,False,QSO,BROADLINE,4.733711,59254.0,20.811995649781867
J084528.72-002723.3,CL-AGN,0.154388,131.36966666666666,-0.4564722222222222,True,16.270332,8.878396,0.3936804491040435,0.8451893065292044,True,0.04,True,False,5,4,1,51901.0,59605.26852516,4.603683457372994,False,True,GALAXY,,59.47639,59222.0,18.06413849860397
J084924.70+002049.7,CL-AGN,0.508254,132.35291666666663,0.3471388888888889,True,14.895369,8.734211,,0.096872705593559,True,0.04,True,False,4,3,1,55513.0,59583.32124424,4.663771837715209,False,True,QSO,,6.087436,59227.0,20.538913979224773
J085321.89+010216.7,CL-AGN,0.213946,133.34120833333333,1.0379722222222223,True,6.6146507,0.37673825,0.0171833290020796,0.1611475966277371,True,0.04,True,False,4,3,1,51912.0,59644.16478021,4.49719131486786,True,True,GALAXY,,9.486809,59252.0,20.057199607692667
J161832.10+431129.6,EVQ,0.504385,244.63375,43.19155555555555,False,6.8872333,0.22394775,0.0387920608191546,0.2328527454099393,True,0.04,True,False,12,10,2,56076.0,59370.0,5.247813574169702,False,False,?,,5.28345,59312.0,20.692705995432014
J081537.56+384303.2,CL-AGN,0.506738,123.90649999999998,38.71755555555555,True,11.658634,-3.6728497,0.0707841923685878,0.0914230564402834,True,0.02,True,False,6,6,0,55269.0,59257.0,5.557190713115629,False,False,QSO,BROADLINE,3.649342,59257.0,21.094463586482274
