name,visit,mjd,w1,w1err,w2,n
CLAGN_0015,317.0,57039.35008028,13.129999999999999,0.014735160971543313,12.157499999999999,12
CLAGN_0015,318.0,57227.887806,13.067,0.010363981871749585,12.127500000000001,10
CLAGN_0015,319.0,57400.209379470005,13.158000000000001,0.021349340769339392,12.122499999999999,12
CLAGN_0015,320.0,57592.02638735,13.035,0.015467674424050677,12.104,11
CLAGN_0015,321.0,57762.0103067,13.1525,0.018387104548189526,12.125499999999999,20
CLAGN_0015,322.0,57959.075560235,13.368500000000001,0.012566305868702079,12.3225,12
CLAGN_0015,323.0,58122.79894127,13.53,0.017829776687652437,12.426,13
CLAGN_0015,324.0,58323.29099809,13.696,0.025631630427339607,12.61,11
CLAGN_0015,325.0,58483.5079333,13.806,0.02051746852852444,12.759,11
CLAGN_0015,326.0,58687.98279628,13.921,0.028442880589472547,12.9,19
CLAGN_0015,327.0,58847.786728759995,13.8615,0.015650164054689338,12.8655,12
CLAGN_0015,328.0,59054.58223708,13.875,0.016250856618694087,12.896,11
CLAGN_0015,329.0,59214.787067575,13.814,0.02257855708771215,12.864,12
CLAGN_0015,330.0,59418.73787825,13.565,0.026922658856709213,12.737,11
CLAGN_0015,331.0,59579.00084968,13.679,0.01662799641646233,12.686,11
CLAGN_0015,332.0,59785.91589507,13.648,0.021484966526332788,12.707,11
CLAGN_0015,333.0,59943.63115793,13.546,0.014963218092910178,12.624,21
CLAGN_0015,334.0,60150.11462531,13.271,0.021027635272795688,12.435,13
CLAGN_0015,335.0,60310.27798494,13.268,0.02152420453773517,12.341,11
CLAGN_0015,336.0,60514.23691165,13.357,0.016464247406332688,12.431,15
CLAGN_0030,316.0,56956.006533635,11.962,0.006621889196988282,10.973,12
CLAGN_0030,317.0,57123.58555553,12.0435,0.0066575092759791135,11.0405,12
CLAGN_0030,318.0,57317.94433288,12.057,0.007736704282927901,11.074,14
CLAGN_0030,319.0,57482.4776631,12.0215,0.011073682619319104,11.083,12
CLAGN_0030,320.0,57684.45506691,12.104500000000002,0.008532558852562069,11.1445,20
CLAGN_0030,321.0,57843.12514242,12.177,0.006737937234250837,11.198,14
CLAGN_0030,322.0,58049.153107725,12.175,0.009115272680618472,11.222000000000001,14
CLAGN_0030,323.0,58206.48481463001,12.0945,0.11114907424775973,11.1725,12
CLAGN_0030,325.0,58570.0743062,11.866,0.013098458094349235,11.021,25
CLAGN_0030,327.0,58780.86680742,11.643,0.01446645559730123,10.837,25
CLAGN_0030,329.0,59145.14561047,11.421,0.012133487326690284,10.611,23
CLAGN_0030,331.0,59509.37690359,11.265,0.0061051721225680875,10.438,27
CLAGN_0030,333.0,59876.22451633,11.292,0.01273265862854161,10.443,17
CLAGN_0030,334.0,60030.413103704996,11.391,0.007327131903434113,10.4665,10
CLAGN_0030,335.0,60240.17298118,11.4915,0.005555042538013871,10.555,16
CLAGN_0030,336.0,60397.39010172,11.539,0.005367424958520854,10.586,15
CLAGN_0045,315.0,56776.62433387,15.116,0.04016567559490916,14.458,17
CLAGN_0045,316.0,56967.73958495,15.115,0.03675842056710972,14.483,15
CLAGN_0045,317.0,57135.536255555,15.099499999999999,0.03382884164483422,14.5245,16
CLAGN_0045,318.0,57329.18898751,15.193,0.1638092879322103,14.941,3
CLAGN_0045,319.0,57414.994566215,15.1525,0.026001800093315135,14.549,32
CLAGN_0045,321.0,57857.33755778,15.215,0.04604904384644005,14.663,27
CLAGN_0045,323.0,58067.77482382,15.2005,0.04326172542521895,14.668,30
CLAGN_0045,325.0,58582.37643061,15.197,0.03516085454295376,14.542,31
CLAGN_0045,327.0,58792.63817872,15.071,0.029382451207838618,14.483,27
CLAGN_0045,328.0,58950.18636964,15.075,0.14399744945975437,14.606,3
CLAGN_0045,329.0,59156.553369190005,14.876000000000001,0.030552641913666863,14.3545,16
CLAGN_0045,330.0,59313.906723755004,14.737,0.026914130859043345,14.096,14
CLAGN_0045,331.0,59523.521593835,14.5715,0.02530718693650047,13.784500000000001,14
CLAGN_0045,332.0,59678.61324078,14.511,0.019194567451398546,13.788,31
CLAGN_0045,333.0,59887.724664224996,14.3645,0.026027392417026077,13.6475,14
CLAGN_0045,334.0,60045.26638038,14.346,0.028046375095347673,13.538,15
CLAGN_0045,335.0,60252.42512022,14.308,0.03419046214416831,13.51,27
CLAGN_0045,336.0,60409.445060194994,14.3305,0.029130997653484536,13.5115,16
CLAGN_0061,316.0,56799.623897155005,11.8625,0.007396975641916844,11.156,14
CLAGN_0061,317.0,56989.927114275,11.917,0.006173393266431412,11.1995,12
CLAGN_0061,318.0,57158.47467001,11.895,0.013126993365952392,11.216,15
CLAGN_0061,319.0,57351.91283358,11.892,0.028915684585715327,11.195,12
CLAGN_0061,320.0,57517.37471007,11.922,0.008646618189554731,11.204,17
CLAGN_0061,321.0,57718.874346225,11.975000000000001,0.004395254595041356,11.244,14
CLAGN_0061,322.0,57880.810418975,11.9885,0.010896934283336514,11.2655,12
CLAGN_0061,323.0,58083.256522545,11.9795,0.009791104725380868,11.2955,14
CLAGN_0061,324.0,58241.303238299995,12.021999999999998,0.00912527646811419,11.3255,14
CLAGN_0061,325.0,58447.41561766,12.03,0.00832741497935591,11.334,13
CLAGN_0061,326.0,58605.53348455,12.126,0.008501350039436532,11.411,15
CLAGN_0061,327.0,58814.454029825,12.2025,0.009779292212664372,11.504000000000001,14
CLAGN_0061,328.0,58970.262845765,12.0915,0.0057677226136429015,11.437999999999999,24
