idx,name,ra,dec,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,baseline_yr,surveys,mjd_list,class_list,subclass_list,class_change_flag,broadline_change_flag,last_class,last_subclass,z_spec_median,r_nmgy_last_sdssv,mjd_last_sdssv
14,J022105.64-044101.5,35.2735,-4.68375,102,100,2,56217.0,59940.0,3.7143254744584877,10.193018480492814,BHM|boss|eboss|main,56217|58047|59146|59146|59146|59146|59163|59163|59164|59164|59164|59164|59167|59167|59167|59167|59189|59190|59190|59192|59193|59193|59195|59197|59197|59199|59200|59200|59201|59202|59203|59203|59203|59203|59216|59216|59217|59217|59218|59219|59219|59220|59221|59221|59223|59223|59226|59227|59227|59228|59229|59230|59230|59231|59232|59232|59246|59246|59250|59251|59252|59252|59253|59254|59255|59255|59257|59257|59610|59621|59827|59828|59829|59829|59844|59845|59845|59847|59847|59881|59881|59884|59884|59901|59902|59902|59904|59905|59905|59907|59907|59910|59911|59911|59931|59933|59933|59936|59936|59939|59940|59940,?|?|QSO|QSO|QSO|QSO|?|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|?|QSO|QSO|?|QSO|QSO|?|QSO|QSO|?|QSO|QSO|?|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|?|QSO|QSO|?|QSO|QSO|QSO|QSO|?|QSO|QSO|?|?|QSO|QSO|?|QSO|QSO|QSO|QSO|?|QSO|QSO|QSO|?|?|QSO|QSO|QSO|QSO|GALAXY|QSO|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?,||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE||BROADLINE|BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE|||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|BROADLINE|BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE||BROADLINE|BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE|||STARBURST BROADLINE|STARBURST BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE|BROADLINE|BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE||||||||||||||||||||||||||||||||||,True,True,?,,0.1986485,61.29589,59257.0
15,P11525,21.739007,39.906199,1,1,0,53359.0,53359.0,21.732121504574845,0.0,segue1,53359,QSO,BROADLINE,False,False,QSO,BROADLINE,0.1179168,,
16,P3502,253.64935,33.04761,2,1,1,52791.0,59735.32200304,4.274703289544053,19.012517462121828,main|sdss,52791|59735,QSO|QSO,BROADLINE|,False,True,QSO,,0.1221004993338672,,
17,P5609,328.5561,27.780912,1,1,0,56098.0,56098.0,14.233148198620022,0.0,boss,56098,QSO,BROADLINE,False,False,QSO,BROADLINE,0.2158226,,
18,P2827,247.48373,27.800051,4,3,1,54553.0,60119.0,3.2242501835618413,15.238877481177276,OPEN_FIBER|main|sdss,54553|59662|60119|60119,?|QSO|?|?,|||,False,False,?,,0.2233146543902961,,
19,P533,237.67193,41.656976,2,1,1,52468.0,59387.22702911,5.2277353879150255,18.94381116799452,main|sdss,52468|59387,QSO|QSO,BROADLINE|,False,True,QSO,,0.14152009801981014,,
20,G1603420604420089856,253.23021,23.903884,2,1,1,52912.0,59714.38531787,4.332024809516664,18.62391599690623,main|sdss,52912|59714,GALAXY|GALAXY,AGN|,False,False,GALAXY,,0.05718966988586639,,
21,G1896117752045791232,244.14262,32.773667,2,1,1,53239.0,59722.32672424,4.310282423835617,17.75038117519508,main|sdss,53239|59722,GALAXY|QSO,AGN|,True,False,QSO,,0.09506842921445335,,
22,G1899480058955851776,254.36172,23.757818,2,1,1,53260.0,59394.27290736,5.208444824602229,16.794723907898696,main|sdss,53260|59394,GALAXY|GALAXY,AGN|,False,False,GALAXY,,0.05915332404148521,,
23,P2592,246.84427,22.24788,1,1,0,53240.0,53240.0,22.057925748243566,0.0,sdss,53240,QSO,BROADLINE,False,False,QSO,BROADLINE,0.2769762,,
24,P2716,243.25681,37.287468,2,2,0,-999.0,52764.0,23.361142722918448,147.19507186858317,APOGEE-2&MaNGA|sdss,-999|52764,QSO|QSO,AGN BROADLINE|AGN BROADLINE,False,False,QSO,AGN BROADLINE,0.06949385,,
25,P4793,255.25954,34.066831,2,0,2,59374.37290965,59743.3138196,4.252822888284634,1.0101051607118334,main,59374|59743,QSO|QSO,|,False,False,QSO,,0.09492196273117486,,
26,P4000,248.5397,26.872022,1,0,1,59378.31053364,59378.31053364,5.252147422056033,0.0,main,59378,QSO,,False,False,QSO,,0.2722919551087899,,
27,G1502090984710760448,238.31644,44.13038,1,1,0,52764.0,52764.0,23.361142722918448,0.0,sdss,52764,GALAXY,AGN,False,False,GALAXY,AGN,0.1967777,,
