Name,Class,z,ra,dec,is_clagn,umap_x,umap_y,fvar_w1,mean_w1_mjy,projected,clagn_score,in_region_zeltyn,in_region_clagn
J024712.91-011106.2,EVQ,0.486331,41.80379166666666,-1.1850555555555555,False,11.1057005,-2.0835738,0.07032032756683115,0.15540073808623922,True,0.02,False,False
J025515.09+003740.5,CL-AGN,1.012572,43.812875,0.6279166666666667,True,9.81169,1.9835229,0.1264604705685368,0.09891465201145658,True,0.08,True,False
J073716.39+380202.4,EVQ,0.550421,114.31829166666665,38.034,False,12.645009,0.35313693,0.09484665843909036,0.17420541384893123,True,0.14,False,False
J073916.52+315814.3,CL-AGN,0.727763,114.81883333333332,31.97063888888889,True,13.709218,5.3183136,0.28364706247306887,0.2762900061225582,True,0.36,False,True
J074147.21+303243.1,EVQ,0.697918,115.44670833333333,30.545305555555558,False,11.220015,1.1291586,0.09804545570446106,0.37587471552455903,True,0.02,False,False
J074314.98+383829.8,EVQ,0.352608,115.81241666666666,38.64161111111111,False,10.80114,3.9557393,0.24293036326938042,0.3004411873760745,True,0.36,False,True
J074511.98+380911.3,EVQ,0.23648,116.29991666666665,38.15313888888889,False,18.650345,4.9301095,0.549444429040304,0.46459168873910117,True,0.08,False,False
J075225.29+284728.5,CL-AGN,0.772837,118.10537499999998,28.79125,True,8.353112,2.331932,0.06588639971485558,0.11793506350823664,True,0.1,True,False
J075827.30+342457.5,EVQ,0.562246,119.61375,34.41597222222222,False,21.932562,7.7372236,0.33318905254446063,0.1360953289045705,True,0.08,False,False
J075934.95+322143.3,CL-AGN,0.26888,119.89562499999998,32.362027777777776,True,19.071386,5.150949,0.33838161088530444,1.1392786003075681,True,0.14,False,False
J080020.23+315414.2,EVQ,1.659855,120.08429166666666,31.90394444444444,False,,,,,False,,False,False
J080133.29+341737.6,CL-AGN,0.337982,120.38870833333334,34.29377777777778,True,12.308919,2.1952481,0.1552730776943986,0.46377759551388,True,0.18,False,False
J080709.93+205901.8,EVQ,0.314605,121.79137499999997,20.983833333333333,False,13.86388,3.4908416,0.11310629798408325,0.44078420573560073,True,0.2,False,True
J080711.72+194439.7,CL-AGN,0.347745,121.7988333333333,19.74436111111111,True,14.90371,2.9733,0.1799523766690841,0.6233876989850662,True,0.26,False,True
J080717.58+251758.7,CL-AGN,0.383252,121.82325,25.29963888888889,True,19.848787,8.218639,0.33772955729214793,0.38443463432805824,True,0.06,False,False
J080803.27+325145.6,CL-AGN,0.631568,122.01362499999998,32.86266666666667,True,7.908549,2.0490565,0.05974481596498551,0.17623792721216333,True,0.1,True,False
J080832.67+260130.3,EVQ,0.459197,122.13612499999996,26.02508333333333,False,9.802511,3.750347,0.13482981982226266,0.12393248752201677,True,0.28,True,False
J080838.73+273252.4,CL-AGN,0.47762,122.16137499999998,27.54788888888889,True,7.0812283,1.4245311,0.04261440725321363,0.24631295058332858,True,0.06,True,False
J081009.62+211625.8,CL-AGN,0.769466,122.5400833333333,21.273833333333332,True,9.298857,2.6915183,0.09404111633599499,0.14599267639453536,True,0.14,True,False
J081051.52+325251.9,EVQ,0.705579,122.71466666666663,32.881083333333336,False,12.757705,-3.6964934,0.09081915920321149,0.10972194044833505,True,0.04,False,False
J081116.71+320935.4,EVQ,0.15368,122.81962499999999,32.15983333333333,False,20.54867,4.9826555,0.23845143796341572,2.184606970733391,True,0.06,False,False
J081127.88+222045.3,EVQ,0.312202,122.86616666666666,22.345916666666664,False,11.738051,3.3722184,0.20756374363010668,0.8095995611800806,True,0.38,False,True
J081314.19+215550.8,CL-AGN,0.454432,123.30912499999998,21.930777777777777,True,4.178748,-0.5254542,,0.1479005845227193,True,0.0,True,False
J081338.47+215349.9,CL-AGN,0.548448,123.41029166666665,21.897194444444445,True,12.159108,2.7800126,0.17636140737828515,0.20947010460813492,True,0.24,False,False
J081352.60+243903.6,CL-AGN,0.651118,123.46916666666667,24.651,True,8.924078,2.3815696,0.07831108429234032,0.14665824088990692,True,0.16,True,False
J081429.24+265241.5,EVQ,0.284569,123.62183333333331,26.878194444444446,False,22.356613,6.2129474,0.3469303526986868,0.6748322419967555,True,0.06,False,False
J081537.56+384303.2,CL-AGN,0.506738,123.90649999999998,38.717555555555556,True,11.658634,-3.6728497,0.07078419236858789,0.0914230564402834,True,0.02,True,False
J082018.50+344141.0,CL-AGN,0.497461,125.07708333333332,34.69472222222222,True,13.520392,2.9711304,0.1941286692442637,0.23507747468747878,True,0.16,False,True
J082039.62+391759.1,EVQ,0.87603,125.16508333333334,39.299749999999996,False,12.043876,4.859305,0.33771444861367506,0.29813675915474014,True,0.46,False,True
J082459.79+315932.5,EVQ,1.475583,126.249125,31.992361111111112,False,,,,,False,,False,False
J082526.43+274205.8,EVQ,0.340195,126.36012499999998,27.70161111111111,False,6.127332,-0.4171366,,0.09671243288341774,True,0.0,False,False
J082537.64+320443.7,CL-AGN,0.719988,126.40683333333331,32.07880555555556,True,10.67307,-3.328441,0.053958251893634894,0.09575915592232212,True,0.0,True,False
J083000.36+343238.8,EVQ,0.739263,127.50149999999998,34.54411111111111,False,11.338992,5.0245695,0.33965472198741214,0.35970751882476215,True,0.5,False,True
J083414.18+270101.6,CL-AGN,1.071886,128.55908333333332,27.01711111111111,True,,,,,False,,False,False
J083537.26+314209.9,EVQ,1.813543,128.90525,31.702749999999998,False,0.9541371,0.5065592,,0.03537249319020969,True,0.0,False,False
J083542.72+035353.8,EVQ,0.882281,128.928,3.898277777777778,False,21.052832,9.079323,0.40874844271786764,0.25058577314005837,True,0.2,False,True
J083716.47+035606.1,CL-AGN,0.063482,129.318625,3.935027777777778,True,17.44925,5.6159196,0.21825703851647707,0.9233692108935416,True,0.0,False,False
J083754.66+040007.2,EVQ,0.563324,129.47775,4.002,False,11.273617,-1.3309547,0.07681424173163981,0.21331330670998544,True,0.04,False,False
J084047.47+370701.1,EVQ,0.525236,130.19779166666663,37.11697222222222,False,12.852613,1.4111968,0.12192270894460873,0.19203241526256265,True,0.16,False,False
J084158.34+035851.7,CL-AGN,0.696807,130.49308333333332,3.981027777777778,True,11.531303,-1.2535967,0.068604298237764,0.08788704799201305,True,0.08,False,False
J084528.72-002723.3,CL-AGN,0.154388,131.36966666666666,-0.4564722222222222,True,16.270332,8.878396,0.39368044910404354,0.8451893065292044,True,0.04,True,False
J084637.65+000024.5,CL-AGN,0.257489,131.656875,0.006805555555555555,True,21.224564,9.353527,0.2768103799724817,0.35142891351716826,True,0.26,False,True
J084924.70+002049.7,CL-AGN,0.508254,132.35291666666663,0.3471388888888889,True,14.895369,8.734211,,0.09687270559355908,True,0.04,True,False
J085321.89+010216.7,CL-AGN,0.213946,133.34120833333333,1.0379722222222223,True,6.6146507,0.37673825,0.017183329002079677,0.16114759662773714,True,0.04,True,False
J085337.26+014303.6,CL-AGN,0.058189,133.40525,1.7176666666666667,True,15.70971,4.7620573,0.36598949179088863,2.602925054103058,True,0.14,False,False
J085502.14+520137.7,EVQ,1.884805,133.75891666666666,52.027138888888885,False,,,,,False,,False,False
J085512.13+032950.6,CL-AGN,0.124046,133.80054166666665,3.497388888888889,True,21.66938,7.7142262,0.3085281426686965,0.6504898289920762,True,0.06,False,False
J090254.12+015429.1,CL-AGN,0.166121,135.72549999999998,1.9080833333333334,True,20.208042,5.758733,0.37773091054697167,0.5799499954479874,True,0.08,False,False
J090315.11+010623.1,CL-AGN,0.121657,135.81295833333334,1.1064166666666668,True,19.80256,7.9163766,0.35971714108065983,0.568940825093739,True,0.04,False,False
J090315.87-000710.1,CL-AGN,0.845034,135.816125,-0.11947222222222223,True,9.35898,-3.717248,0.022276699984695877,0.12324719669049762,True,0.0,False,False
J090457.90+010423.1,EVQ,0.278855,136.24124999999998,1.0730833333333334,False,17.839148,2.308985,0.3310554500657371,0.4907074392672657,True,0.16,False,False
J090459.92-004206.9,CL-AGN,0.282439,136.24966666666666,-0.7019166666666666,True,12.343014,1.0026213,0.0838559215016307,0.40198190343655715,True,0.1,False,False
J090535.77-004039.9,CL-AGN,0.793011,136.39904166666665,-0.67775,True,9.93672,3.1047442,0.09322634660381936,0.2970942923338689,True,0.18,False,True
J090550.30+003948.1,CL-AGN,0.354041,136.4595833333333,0.6633611111111112,True,5.2140107,-0.96167856,0.011748192942451812,0.3956265674568845,True,0.0,True,False
J090612.02+014412.0,CL-AGN,0.588482,136.5500833333333,1.7366666666666668,True,13.943695,-1.3990697,0.15025404537475567,0.3767994885502485,True,0.18,False,False
J090624.60+505549.5,CL-AGN,0.478108,136.60249999999996,50.930416666666666,True,9.585949,3.1991131,0.1147201987421628,0.08386373467180404,True,0.18,True,False
J090826.74+002137.4,CL-AGN,0.162574,137.11141666666666,0.36038888888888887,True,18.99275,6.467412,0.3216588805690456,0.9251129363906305,True,0.0,False,False
J090903.50-005928.9,EVQ,2.440956,137.26458333333332,-0.991361111111111,False,,,,,False,,False,False
J091156.22-005140.4,EVQ,0.570337,137.98424999999997,-0.8612222222222222,False,11.325816,0.4066517,0.09846821185982045,0.1417196659770691,True,0.04,False,False
J091445.19+000648.8,EVQ,0.560135,138.68829166666663,0.11355555555555556,False,16.338037,-0.14984645,0.23851044990945575,0.3137284370480661,True,0.02,False,False
J091459.16+050243.4,CL-AGN,0.142516,138.74649999999997,5.045388888888889,True,17.10871,5.1285686,0.3011562532547272,0.8309914740379298,True,0.02,False,False
J091649.41+000031.6,CL-AGN,0.222549,139.20587500000002,0.008777777777777778,True,18.95074,6.812999,0.381989891285937,0.25441632466827235,True,0.0,False,False
J092158.92+034235.7,EVQ,0.323627,140.49549999999996,3.709916666666667,False,11.557628,3.0249126,0.1082257434307647,0.5081640786388547,True,0.3,False,True
J092313.53+043445.0,CL-AGN,0.65682,140.80637499999997,4.579166666666667,True,13.628645,-1.8531226,0.12580625851044672,0.23034950649898925,True,0.12,False,False
J092629.23-000605.7,CL-AGN,0.201324,141.62179166666667,-0.10158333333333334,True,17.55703,2.1306562,0.347901390018339,0.15324140814969694,True,0.22,False,False
J092702.31+043308.2,EVQ,0.321793,141.75962499999997,4.552277777777777,False,22.531404,7.301298,0.231017899572924,0.6604660235142061,True,0.06,False,False
J092739.77+050312.6,CL-AGN,0.126061,141.9157083333333,5.0535,True,21.47213,1.7602388,0.26362363351510437,0.9116537704432244,True,0.04,False,False
