name,n_ztf_g,n_ztf_r,mjd_first_ztf,mjd_last_ztf,r_first,r_last,g_last,dr_last_minus_first,r_at_ref,dr_since_ref,slope_r_2yr,r_amp
J080133.29+341737.6,229,1129,58204.2239583,60968.4507407,19.0323343,18.9904995,19.9026661,-0.04183480000000017,19.0690937,-0.07859420000000128,-0.031109377360866396,0.3354770800000004
J090535.77-004039.9,4,32,58430.5504051,60951.5270718,20.22388075,20.1708145,,-0.05306625000000054,,,0.12137970073458983,0.4806775999999999
J090612.02+014412.0,186,564,58202.2649537,60803.1847685,19.3087139,20.5060997,20.8813572,1.1973857999999993,19.8084431,0.6976565999999984,0.047195815719837275,1.2983603550000034
J113200.64+292603.9,655,921,58202.2896759,60964.5414583,18.4799576,18.5506296,18.6317883,0.07067200000000184,18.4284878,0.12214180000000141,0.10718148374714068,0.4392890999999999
J135704.22+553414.8,810,910,58198.3699769,60900.1785185,20.1555347,20.355978,20.5484085,0.20044329999999988,20.1855888,0.1703891999999989,0.2646722966825915,0.5305627050000012
J142310.50+045455.1,226,314,58198.3606829,60859.2240278,20.301934250000002,19.872852350000002,19.95611665,-0.4290818999999999,19.949535349999998,-0.07668299999999562,-0.1809611537385458,0.6477076349999997
J144731.89+342921.1,582,917,58198.3781134,60923.1982755,19.4855938,19.56884955,20.5054932,0.0832557499999993,19.42042635,0.14842319999999987,0.028183919381423648,0.47113304000000156
J225350.57+193842.6,1405,1936,58254.4838542,60969.2818171,19.6136532,19.3255453,19.5890093,-0.2881079,19.395100550000002,-0.06955525000000051,-0.006311024576029402,0.5735502250000017
J003849.27-011722.4,152,311,58289.4647917,60969.3165856,20.3274155,20.1613846,20.7431393,-0.1660308999999991,20.4078312,-0.24644659999999874,-0.24291000732092963,0.8201904499999983
J024508.68+003710.7,398,507,58319.4647454,60968.3573843,19.062458,18.93995,19.9135437,-0.12250799999999984,18.9854851,-0.04553509999999861,-0.021609807340813393,0.353121569999999
J082018.50+344141.0,224,514,58217.2232176,60967.4474537,20.43643855,20.5304899,21.1176109,0.09405135000000087,20.53634265,-0.005852750000002516,0.2726271261804101,0.8223276000000013
