group,name,umap_x,umap_y,t_change,sign,step,s,year_change
SampleA Turn-off,8114,12.074277,-1.1669229,58208.695987394996,1.0,0.1509139925085975,0.7848232072622178,2018.245574229692
SampleA Turn-on,8115,19.379667,4.8699884,58677.858143225,-1.0,0.23076795128588867,-0.741407484771225,2019.5300702073237
SampleA Turn-off,8116,22.045284,9.010236,56867.3798797475,-1.0,0.40835168094042473,-1.4455328293480938,2014.5732508685762
SampleA Turn-off,8118,11.499581,4.0165215,56908.06000667,-1.0,0.71759234304064,0.47490998194122314,2014.6846269860916
SampleA Turn-off,8119,17.93846,2.0143514,56874.0243812575,-1.0,0.6242878374230867,-0.31381419361383245,2014.5914425222657
SampleA Turn-on,8120,16.35256,3.8276308,56910.0328216475,1.0,0.25935789422392913,-0.21986855061529118,2014.6900282591307
SampleA Turn-on,8121,14.53744,6.426284,57087.843343989996,1.0,0.44162745313905905,-0.15210907247284539,2015.1768469376866
SampleA Turn-off,8122,14.501345,-0.31858328,58348.007852204995,1.0,0.4889069318970072,0.3657072434622761,2018.6269893284189
SampleA Turn-on,8123,15.654127,6.712972,58545.7751634125,1.0,0.3447463975209195,-0.337068237415263,2019.1684467170774
SampleA Turn-off,8124,13.729285,-0.07784233,58717.500295494996,1.0,0.24869254282398492,0.4602291538660536,2019.6386045051197
SampleA Turn-off,8125,23.121914,4.6225557,56906.448576595,-1.0,0.19919057854674188,-1.2694338143482315,2014.6802151309926
SampleA Turn-on,8126,15.105175,6.0580993,56902.585902360006,1.0,0.39615091809901626,-0.20708993913061763,2014.6696397052979
SampleA Turn-on,8127,19.293272,3.2281053,58335.62369389,-1.0,0.2625507098740784,-0.6040165954215937,2018.5930833508282
SampleA Turn-on,8128,15.350259,-0.6397289,56129.771519677495,1.0,0.3112683026463633,0.26606513388527836,2012.5537892393634
SampleA Turn-on,8129,16.640944,7.411633,56788.366247435,-1.0,0.2019441548406583,-0.5343561957351497,2014.3569233331555
SampleA Turn-on,8130,19.282726,8.266499,57148.050035975,-1.0,0.17254024305131477,-0.9853427734756823,2015.3416838767282
SampleA Turn-on,8131,16.131588,6.3905463,58407.78246212,-1.0,0.24158634089083583,-0.3823352108396322,2018.7906432912253
SampleA Turn-on,8132,15.353198,3.2402942,57875.164363167496,-1.0,0.1300819362443381,-0.02920701156907375,2017.3324144097674
SampleA Turn-off,8133,12.154421,4.926181,56873.792785954996,-1.0,1.4510529438337414,0.31009776961668556,2014.5908084488842
SampleA Turn-on,8134,15.831714,4.1048417,56782.885940457505,1.0,0.448452625507557,-0.1648261570471599,2014.3419190703833
SampleA Turn-off,8135,11.60293,-1.4900932,58366.559393862495,1.0,0.14518265544426032,0.878255579898568,2018.6777806813484
SampleA Turn-off,8136,21.651392,9.126965,56735.89259211,-1.0,0.4189776417297062,-1.3968463389172354,2014.2132582946201
SampleA Turn-off,8138,18.43198,5.2682743,57574.6377058725,1.0,0.32008416067399226,-0.6331942430728444,2016.509617264538
SampleA Turn-off,8139,22.071808,9.1601715,56883.3638308975,-1.0,0.3734132065980348,-1.4608021867656318,2014.617012541814
SampleA Turn-off,8140,15.85367,3.9317648,58699.756263279996,1.0,0.616413259142693,-0.1548823339984295,2019.5900239925531
SampleA Turn-off,8141,12.746163,1.8082299,56742.48055752,1.0,0.10117075181538024,0.4605634861915395,2014.2312951609035
SampleA Turn-off,8142,14.633085,4.328362,56790.85016152,-1.0,0.6778190233674971,-0.006664067022459333,2014.363723919288
SampleA Turn-off,8143,10.20591,-0.11090915,56129.7176236475,1.0,0.09771372088374766,0.9775883681486589,2012.5536416800753
SampleA Turn-off,8144,16.953287,7.1735034,58407.291892835,1.0,0.16828798593415462,-0.5619012704017388,2018.7893001857221
SampleA Turn-off,8145,20.847673,9.135744,56800.8229206775,-1.0,0.947571285237806,-1.2800715446714594,2014.3910278457975
SampleA Turn-off,8146,20.451935,3.4764342,58603.4446688825,1.0,0.1560023171621222,-0.7921945181253192,2019.326337218022
SampleA Turn-off,8147,14.659616,0.12945463,58329.32581123999,1.0,0.5299179570091724,0.30853382458711476,2018.5758406878576
SampleA Turn-off,8148,14.324864,-1.7405295,58341.5300084525,1.0,0.3680986126173292,0.4995487897292185,2018.6092539588021
SampleA Turn-off,8149,12.917888,2.359034,58467.886278605,-1.0,0.11126576072202551,0.39361493142087306,2018.9551985724984
SampleA Turn-off,8150,11.137202,3.609759,57918.720612595,-1.0,0.28193955788611336,0.5587717784354628,2017.4516649215468
SampleA Turn-off,8152,16.133326,2.4271684,58386.74630483751,1.0,0.22722931871001473,-0.08141235756862455,2018.733049431451
SampleA Turn-on,8153,15.168166,-1.95579,57313.0151524275,1.0,0.24116875408750527,0.3926805199578355,2015.793333750657
SampleA Turn-on,8154,15.009379,2.4836864,58584.927472735,-1.0,0.22998412825952436,0.07852746062439317,2019.275639897974
SampleA Turn-on,8155,12.719281,4.2962337,56135.830552947504,-1.0,0.6751905934598078,0.27542832891329583,2012.570377968371
