idx,name,ra,dec,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,baseline_yr,surveys,mjd_list,class_list,subclass_list,class_change_flag,broadline_change_flag,last_class,last_subclass,z_spec_median,r_nmgy_last_sdssv,mjd_last_sdssv
26,J014022.54+002629.7,25.09391666666666,0.4415833333333333,8,7,1,56902.0,59488.37304243,4.923725846777502,7.081103470034226,BHM|eboss|main,56902|59166|59166|59191|59191|59220|59220|59488,?|QSO|QSO|QSO|QSO|QSO|QSO|QSO,|BROADLINE|BROADLINE|BROADLINE|BROADLINE|||,False,True,QSO,,1.864067,1.291468,59220.0
27,J014128.85+003712.2,25.37020833333333,0.6200555555555556,8,7,1,55205.0,59550.87422168001,4.752606943971182,11.89835515860372,BHM|boss|main,55205|59166|59166|59191|59191|59220|59220|59551,?|QSO|QSO|QSO|QSO|QSO|QSO|QSO,|||||||,False,False,QSO,,0.8152272,1.013655,59220.0
28,J014209.02-005050.0,25.53758333333333,-0.8472222222222222,9,9,0,51788.0,59878.0,3.8569853743065945,22.1492128678987,BHM|sdss,51788|59166|59166|59191|59191|59220|59220|59878|59878,?|GALAXY|GALAXY|QSO|QSO|GALAXY|GALAXY|?|?,|||STARBURST BROADLINE|STARBURST BROADLINE||||,True,True,?,,0.0,0.0,59220.0
29,J015105.80-003426.4,27.774166666666662,-0.574,20,19,1,51793.0,59935.0,3.700927879440065,22.29158110882957,BHM|eboss|main|sdss,51793|52199|52202|56982|57391|58071|59165|59165|59195|59196|59197|59197|59221|59221|59569|59872|59872|59934|59935|59935,?|?|?|?|?|?|QSO|QSO|?|?|QSO|QSO|QSO|QSO|QSO|?|?|?|?|?,||||||BROADLINE|BROADLINE|||BROADLINE|BROADLINE|BROADLINE|BROADLINE||||||,False,True,?,,0.3353458,15.27092,59221.0
30,J015108.82+003517.2,27.78675,0.5881111111111111,13,12,1,55182.0,59872.0,3.8734124790293873,12.840520191649555,BHM|boss|main,55182|55447|59165|59165|59195|59196|59197|59197|59221|59221|59490|59872|59872,?|?|QSO|QSO|?|?|QSO|QSO|QSO|QSO|QSO|?|?,||BROADLINE|BROADLINE|||BROADLINE|BROADLINE|BROADLINE|BROADLINE|||,False,True,?,,0.8749624,1.700962,59221.0
31,J015717.74+004108.4,29.323916666666666,0.6856666666666666,15,14,1,51871.0,59935.0,3.700927879440065,22.078028747433265,BHM|boss|eboss|main|sdss,51871|55478|58103|59165|59165|59195|59196|59197|59197|59221|59221|59609|59934|59935|59935,?|?|?|QSO|QSO|?|?|QSO|QSO|QSO|QSO|QSO|?|?|?,|||BROADLINE|BROADLINE|||BROADLINE|BROADLINE|BROADLINE|BROADLINE||||,False,True,?,,0.3898847,16.073,59221.0
32,J015854.50+001307.3,29.72708333333333,0.2186944444444444,15,15,0,55449.0,59935.0,3.700927879440065,12.281998631074606,BHM|boss|eboss,55449|58080|59165|59165|59195|59196|59197|59197|59221|59221|59872|59872|59934|59935|59935,?|?|QSO|QSO|?|?|GALAXY|GALAXY|GALAXY|GALAXY|?|?|?|?|?,||STARFORMING BROADLINE|STARFORMING BROADLINE|||STARFORMING BROADLINE|STARFORMING BROADLINE|STARFORMING BROADLINE|STARFORMING BROADLINE|||||,True,False,?,,0.1452971,15.81927,59221.0
33,J015957.64+003310.5,29.990166666666667,0.5529166666666667,12,11,1,51871.0,59497.38171448,4.899061446914404,20.879895179958925,BHM|boss|eboss|main|sdss,51871|55201|58080|59165|59165|59195|59196|59197|59197|59221|59221|59497,?|?|?|GALAXY|GALAXY|?|?|GALAXY|GALAXY|GALAXY|GALAXY|GALAXY,|||STARFORMING|STARFORMING|||STARFORMING|STARFORMING|STARFORMING|STARFORMING|,False,False,GALAXY,,0.3120908,18.25709,59221.0
34,J020428.59-031013.7,31.119124999999997,-3.170472222222222,26,26,0,56958.0,59957.0,3.6406951621231585,8.210814510609172,BHM|eboss,56958|58069|59169|59169|59200|59200|59201|59202|59202|59223|59223|59226|59226|59879|59879|59883|59885|59885|59938|59939|59939|59941|59941|59956|59957|59957,?|?|QSO|QSO|QSO|QSO|?|QSO|QSO|QSO|QSO|QSO|QSO|?|?|?|?|?|?|?|?|?|?|?|?|?,||BROADLINE|BROADLINE|BROADLINE|BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE|BROADLINE|BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|||||||||||||,False,False,?,,0.3598155,17.49345,59226.0
35,J020649.48-041452.7,31.70616666666666,-4.247972222222223,14,14,0,56660.0,59957.0,3.6406951621231585,9.026694045174539,BHM|boss|eboss,56660|57742|59200|59200|59226|59226|59883|59885|59885|59941|59941|59956|59957|59957,?|?|GALAXY|GALAXY|GALAXY|GALAXY|?|?|?|?|?|?|?|?,||AGN|AGN||||||||||,False,False,?,,0.1389581,33.02699,59226.0
36,J020719.49-033600.7,31.831208333333333,-3.6001944444444445,12,11,1,57336.0,59957.0,3.6406951621231585,7.175906913073238,BHM|eboss|main,57336|59200|59200|59226|59226|59525|59885|59885|59941|59941|59956|59957,?|QSO|QSO|QSO|QSO|QSO|?|?|?|?|?|?,|BROADLINE|BROADLINE|BROADLINE|BROADLINE|||||||,False,True,?,,0.5599762,4.647245,59226.0
37,J021122.60-021129.8,32.84416666666666,-2.191611111111111,19,18,1,56986.0,59957.0,3.6406951621231585,8.134154688569472,BHM|eboss|main,56986|58082|59200|59200|59226|59226|59228|59229|59230|59230|59605|59883|59885|59885|59941|59941|59956|59957|59957,?|?|QSO|QSO|QSO|QSO|?|?|QSO|QSO|QSO|?|?|?|?|?|?|?|?,||BROADLINE|BROADLINE|BROADLINE|BROADLINE|||STARBURST BROADLINE|STARBURST BROADLINE|||||||||,False,True,?,,0.2106648,18.36894,59230.0
