idx,name,ra,dec,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,baseline_yr,surveys,mjd_list,class_list,subclass_list,class_change_flag,broadline_change_flag,last_class,last_subclass,z_spec_median,r_nmgy_last_sdssv,mjd_last_sdssv
566,P15017,119.65892,41.753455,4,2,2,51869.0,59571.795585635,4.695739788352313,21.089104957248466,main|sdss,51869|51876|59537|59572,QSO|QSO|QSO|QSO,STARBURST BROADLINE|STARBURST BROADLINE||,False,True,QSO,,0.09364255718583488,,
567,P15211,117.8592,36.163705,2,1,1,52017.0,59556.85095322999,4.736655961945782,20.642986867159443,main|sdss,52017|59557,QSO|QSO,BROADLINE|,False,True,QSO,,0.14835372453520235,,
568,P21398,146.82196,47.571643,1,1,0,52703.0,52703.0,23.501477189132604,0.0,sdss,52703,QSO,BROADLINE,False,False,QSO,BROADLINE,0.6617794,,
569,P19110,135.93724,31.613814,2,2,0,52976.0,58142.0,8.610306757921107,14.143737166324435,eboss|sdss,52976|58142,QSO|?,BROADLINE|,False,False,?,,0.6464779,,
570,P4335,259.86287,27.576431,1,1,0,52431.0,52431.0,24.246172603232537,0.0,sdss,52431,QSO,BROADLINE,False,False,QSO,BROADLINE,0.2726534,,
571,P19311,135.8133,25.400282,2,2,0,53401.0,58085.0,8.766364252787636,12.824093086926762,eboss|sdss,53401|58085,QSO|?,STARBURST BROADLINE|,False,False,?,,0.3150464,,
572,P2067,241.24099,41.002049,3,3,0,52824.0,60114.0,3.2112650056966023,19.958932238193018,OPEN_FIBER|sdss,52824|60114|60114,?|?|?,||,False,False,?,,,,
573,P16319,121.5339,24.739189,1,1,0,52705.0,52705.0,23.496001487558342,0.0,sdss,52705,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.3578924,,
574,P21670,149.87727,30.126254,3,3,0,53436.0,58462.0,7.7341945060388335,13.760438056125942,eboss|sdss,53436|58142|58462,QSO|?|?,BROADLINE||,False,False,?,,0.544131,,
575,P25849,164.42546,65.303994,1,1,0,51929.0,51929.0,25.62057369837285,0.0,sdss,51929,QSO,BROADLINE,False,False,QSO,BROADLINE,0.5232765,,
576,P4094,252.31562,38.122638,2,1,1,52071.0,59710.43297252,4.316171309543281,20.91562757705681,main|sdss,52071|59710,QSO|QSO,BROADLINE|,False,True,QSO,,0.736254508756111,,
