name,class_zeltyn,z,ra,dec
J113457.21+292502.4,CL-AGN,0.392179,173.73837499999996,29.417333333333335
J115705.84+560749.5,EVQ,0.653877,179.2743333333333,56.13041666666667
J121345.97+484419.4,EVQ,0.494173,183.44154166666664,48.73872222222222
J121618.00+515946.1,CL-AGN,0.623324,184.075,51.99613888888889
J122013.56+520206.3,EVQ,0.27803,185.0565,52.03508333333333
J122334.95+281544.0,EVQ,2.274074,185.895625,28.26222222222222
J132457.29+480241.3,CL-AGN,0.271847,201.2387083333333,48.044805555555556
J133244.09+141943.5,EVQ,0.59958,203.1837083333333,14.32875
J135157.54+533839.6,EVQ,1.519408,207.98974999999996,53.644333333333336
J135415.55+515925.9,CL-AGN,0.319749,208.56479166666665,51.99052777777778
J135544.26+531805.2,EVQ,1.572692,208.93441666666664,53.30144444444444
J135704.22+553414.8,EVQ,0.491954,209.26758333333328,55.57077777777778
J135726.62+553736.0,CL-AGN,2.363621,209.3609166666666,55.626666666666665
J135750.26+614309.0,CL-AGN,0.737404,209.45941666666664,61.719166666666666
J135925.58+612603.8,EVQ,0.502968,209.8565833333333,61.43438888888888
J140037.13+622132.9,CL-AGN,0.075293,210.15470833333333,62.35913888888889
J140104.00+633733.2,EVQ,1.698609,210.26666666666665,63.62588888888889
J140219.42+554556.4,CL-AGN,0.76352,210.58091666666664,55.76566666666667
J140515.59+542458.0,CL-AGN,0.083262,211.3149583333333,54.41611111111111
J140836.66+620103.9,EVQ,2.618734,212.15274999999997,62.01775
J141144.12+531508.6,CL-AGN RM,0.923187,212.9338333333333,53.25238888888889
J141634.37+515849.3,CL-AGN RM,0.989376,214.14320833333332,51.980361111111115
J142310.50+045455.1,EVQ,0.607454,215.79374999999996,4.915305555555556
J142613.05+321212.3,CL-AGN,0.523328,216.55437499999996,32.20341666666667
J142651.49+351924.5,EVQ,1.754633,216.71454166666663,35.32347222222223
J142813.06+045247.6,CL-AGN,0.445953,217.05441666666664,4.879888888888889
J142835.15+305639.6,CL-AGN,0.673064,217.1464583333333,30.944333333333333
J143421.57+044137.2,EVQ,0.906706,218.58987499999998,4.693666666666667
J143438.23+034121.9,CL-AGN,0.331644,218.65929166666663,3.689416666666667
J143732.94+355947.1,CL-AGN,0.370782,219.38725,35.99641666666667
J144024.60+345624.2,CL-AGN,0.752449,220.10249999999996,34.94005555555555
J144133.10+051633.5,EVQ,0.782236,220.38791666666665,5.275972222222222
J144731.89+342921.1,CL-AGN,0.387996,221.88287499999996,34.48919444444444
J153144.80+395542.2,EVQ,0.752683,232.93666666666664,39.92838888888889
J155829.36+271714.2,EVQ,0.090296,239.6223333333333,27.287277777777778
J160451.30+553223.5,EVQ,0.312626,241.21374999999998,55.53986111111111
J160541.37+335021.4,EVQ,0.831624,241.42237499999996,33.83927777777778
J160730.23+560305.6,CL-AGN,0.717069,241.8759583333333,56.05155555555555
J160738.15+472349.1,CL-AGN,0.516701,241.90895833333332,47.396972222222225
J161003.12+543627.9,CL-AGN,0.267623,242.513,54.60775
J161734.42+490211.9,CL-AGN,0.880448,244.39341666666667,49.03663888888889
J161832.10+431129.6,EVQ,0.504385,244.63375,43.19155555555555
J162829.18+432948.6,CL-AGN,0.260285,247.1215833333333,43.496833333333335
J163110.02+384457.4,CL-AGN,0.583915,247.79174999999995,38.74927777777778
J163345.19+441150.1,EVQ,0.768656,248.43829166666666,44.19725
J164348.61+390939.1,EVQ,0.675179,250.9525416666666,39.16086111111111
J164407.45+491912.0,EVQ,0.481326,251.03104166666665,49.32
J165234.96+393733.4,CL-AGN,0.641484,253.14566666666667,39.62594444444444
J165252.60+360057.4,EVQ,0.280965,253.21916666666667,36.01594444444444
J170643.86+412109.1,EVQ,1.769442,256.68275,41.35252777777778
J211834.39+005322.2,CL-AGN,0.451338,319.64329166666664,0.8895
J212928.91+000415.9,CL-AGN,0.180379,322.3704583333333,0.07108333333333333
J213517.46+002020.4,CL-AGN,0.181268,323.82275,0.33899999999999997
J220946.60-003822.8,CL-AGN,0.088949,332.4441666666666,-0.6396666666666666
J221003.68-005054.7,EVQ,0.388194,332.51533333333333,-0.8485277777777778
J221026.83-001721.1,CL-AGN,0.44867,332.61179166666665,-0.2891944444444444
J221055.80-001702.4,CL-AGN,0.657455,332.73249999999996,-0.284
J221301.55-004714.9,EVQ,1.68995,333.2564583333333,-0.7874722222222222
J222210.54+203340.7,CL-AGN,0.568833,335.54391666666663,20.561305555555556
J222306.32+194431.6,CL-AGN,0.259936,335.7763333333333,19.74211111111111
J222515.86+212758.3,CL-AGN,0.882035,336.3160833333333,21.466194444444444
J225350.57+193842.6,EVQ,0.432824,343.4607083333333,19.645166666666665
J232710.20+245645.9,EVQ,0.694549,351.79249999999996,24.946083333333334
J233650.69+004042.5,CL-AGN,0.161514,354.21120833333333,0.6784722222222221
J233830.25+002501.8,EVQ,0.463811,354.62604166666665,0.4171666666666667
J235042.15-010425.0,CL-AGN,0.396912,357.67562499999997,-1.073611111111111
J235214.78+005103.3,CL-AGN,0.602111,358.06158333333326,0.8509166666666667
J235439.15+005751.9,EVQ,0.389755,358.6631249999999,0.9644166666666666
J235720.13-005830.0,CL-AGN,0.339078,359.333875,-0.975
J235720.19+004012.8,CL-AGN,0.220698,359.334125,0.6702222222222222
