name,n_frames,n_visits,mjd_first_neo,mjd_last_neo,w1_first,w1_last,dw1_neowise,w1_slope_2yr,w1_amp_visits,w1_flux_last_mjy,w2_last
CLAGN_0755,272,21,56810.17477944,60442.68524069,12.028,11.7365,-0.291500000000001,-0.05786913848918942,0.5115000000000016,6.253408192353028,11.212
CLAGN_0757,278,22,56686.0428511,60495.76375148,12.818,12.5625,-0.2554999999999996,-0.00100202441756423,0.35749999999999815,2.922246036455445,11.957
CLAGN_0758,210,21,56707.05704804,60520.798887465004,12.15,12.107,-0.04300000000000104,0.07885319077401745,0.46000000000000085,4.4454607310098,11.456
CLAGN_0761,272,21,56802.64269204,60450.95432093,12.0365,11.957,-0.07949999999999946,0.04310903760616681,0.24450000000000038,5.104071837531078,11.586
CLAGN_0762,250,21,56816.19766044,60467.186528065,11.5165,11.7845,0.2679999999999989,-0.019503031512832412,0.34750000000000014,5.98296935337867,10.871500000000001
CLAGN_0763,283,22,56645.259943535,60481.386804545,12.233,12.52,0.28699999999999903,0.07499249313357727,0.9315000000000015,3.03890258282406,12.0545
CLAGN_0764,257,22,56657.41647969,60496.593675795,12.254,12.4875,0.23350000000000115,0.006542722240798876,0.5574999999999992,3.1312430427160827,12.061
CLAGN_0765,309,22,56669.14139568,60506.10723641999,12.5175,12.6235,0.10599999999999987,0.05530677510821061,0.3584999999999994,2.76259218080022,12.366
CLAGN_0766,316,22,56671.37910968,60508.662066389996,12.5105,12.6125,0.10200000000000031,-0.036555310956461216,0.3509999999999991,2.7907232993454736,12.2665
CLAGN_0767,341,22,56680.6030947,60520.741012235,13.074,13.029,-0.04499999999999993,0.029333791609821917,0.5199999999999996,1.9015895331567678,12.607
CLAGN_0769,309,21,56796.84596499,60429.49927067,12.7315,13.002500000000001,0.2710000000000008,-0.006020653126325539,0.3674999999999997,1.948573438416167,12.794
CLAGN_0770,286,21,56796.585559325,60429.24535881,12.397,12.943,0.5459999999999994,0.06230289083930972,0.5984999999999996,2.0583384095437207,12.2925
CLAGN_0771,295,22,56672.6084321,60484.545987015,9.67,11.372,1.702,0.06987195635408161,1.9079999999999995,8.748161223984363,10.597
CLAGN_0772,292,22,56669.474066855,60481.290919465,13.058,13.135,0.07699999999999996,-0.12477397231154293,0.3979999999999997,1.7247127672438938,12.865
CLAGN_0774,262,21,56715.75001587,60364.113100515,12.319,11.931000000000001,-0.3879999999999999,-0.016728697265671718,0.6119999999999983,5.227773684255804,11.1175
CLAGN_0777,266,21,56792.11575545,60443.13754531,12.079,11.901,-0.17800000000000082,-0.11961021507647775,0.4115000000000002,5.374236550331653,11.5215
CLAGN_0778,291,21,56790.93342343,60441.825391325,11.215,11.331,0.11599999999999966,-0.03717480248301694,0.270999999999999,9.084829441013916,11.151
CLAGN_0779,258,21,56798.20204838,60447.847839405,11.839,12.009,0.16999999999999993,0.01306087011567914,0.2835000000000001,4.8653801422224054,11.904
CLAGN_0782,293,22,56645.45426136,60481.61397532,12.381499999999999,12.356,-0.02549999999999919,-0.02674425356395166,0.24899999999999878,3.534408787127567,11.8995
CLAGN_0785,306,21,56713.07630581,60346.42239506,12.208,12.221499999999999,0.013499999999998735,0.0072216569874793595,0.09849999999999781,4.000523061140809,11.7305
CLAGN_0786,306,19,56739.28344508,60372.0889187,11.086,10.606,-0.4800000000000004,,1.0190000000000001,17.71400562528389,9.65
CLAGN_0788,278,21,56803.49559988,60435.950596135,10.850000000000001,11.314499999999999,0.46449999999999747,0.08173820652248548,1.0044999999999984,9.223946562087242,10.518
CLAGN_0789,293,22,56644.045201910005,60453.57850286,11.725,12.079,0.354000000000001,0.01657021748378844,0.5594999999999999,4.5615955705993585,12.013
CLAGN_0792,273,19,56772.863974975,60421.096490435,11.288,11.276,-0.012000000000000455,0.024801810250091986,0.29300000000000104,9.556894202133387,10.832
CLAGN_0795,272,21,56823.205558485,60474.19208675,10.1125,10.164,0.05149999999999899,0.23168891264870967,0.6805000000000003,26.614406033430004,9.465
CLAGN_0796,267,22,56674.02035114,60486.08454646,12.824,12.376000000000001,-0.4479999999999986,0.04477899997443164,0.6349999999999998,3.4698985565542397,11.8265
CLAGN_0797,261,18,56784.01796417,60435.213563775,11.82,12.069,0.24900000000000055,0.027026382304304965,0.391,4.603803494742027,11.789
CLAGN_0798,284,22,56645.91905286,60482.05787561,11.514,11.566,0.05200000000000138,-0.00048594266291851793,0.36549999999999905,7.31672577376317,11.175
CLAGN_0799,283,22,56646.54485622,60482.665404275,12.657,12.726,0.06900000000000084,0.04967662616013665,0.25900000000000034,2.513719292180195,12.358
