name,ra,dec
J112536.33+303915.9,171.40137499999997,30.654416666666663
J112825.59+565646.1,172.10662499999998,56.94613888888889
J112951.94+233237.3,172.46641666666665,23.543694444444448
J113025.21+304033.7,172.60504166666666,30.67602777777778
J113118.43+581841.8,172.82679166666665,58.311611111111105
J113200.64+292603.9,173.00266666666664,29.434416666666667
J113311.19+591357.9,173.296625,59.23275
J113333.82+592152.5,173.39091666666664,59.364583333333336
J113457.21+292502.4,173.73837499999996,29.417333333333335
J115705.84+560749.5,179.2743333333333,56.13041666666667
J121345.97+484419.4,183.44154166666664,48.73872222222222
J121618.00+515946.1,184.075,51.99613888888889
J122013.56+520206.3,185.0565,52.03508333333333
J122334.95+281544.0,185.895625,28.26222222222222
J132457.29+480241.3,201.2387083333333,48.044805555555556
J133244.09+141943.5,203.1837083333333,14.32875
J135157.54+533839.6,207.98974999999996,53.644333333333336
J135415.55+515925.9,208.56479166666665,51.99052777777778
J135544.26+531805.2,208.93441666666664,53.30144444444444
J135704.22+553414.8,209.26758333333328,55.57077777777778
J135726.62+553736.0,209.3609166666666,55.626666666666665
J135750.26+614309.0,209.45941666666664,61.719166666666666
J135925.58+612603.8,209.8565833333333,61.43438888888888
J140037.13+622132.9,210.15470833333333,62.35913888888889
J140104.00+633733.2,210.26666666666665,63.62588888888889
J140219.42+554556.4,210.58091666666664,55.76566666666667
J140515.59+542458.0,211.3149583333333,54.41611111111111
J140836.66+620103.9,212.15274999999997,62.01775
J141144.12+531508.6,212.9338333333333,53.25238888888889
J141634.37+515849.3,214.14320833333332,51.980361111111115
J142310.50+045455.1,215.79374999999996,4.915305555555556
J142613.05+321212.3,216.55437499999996,32.20341666666667
J142651.49+351924.5,216.71454166666663,35.32347222222223
J142813.06+045247.6,217.05441666666664,4.879888888888889
J142835.15+305639.6,217.1464583333333,30.944333333333333
J143421.57+044137.2,218.589875,4.693666666666667
J143438.23+034121.9,218.65929166666663,3.689416666666667
J143732.94+355947.1,219.38725,35.99641666666667
J144024.60+345624.2,220.10249999999996,34.94005555555555
J144133.10+051633.5,220.38791666666663,5.275972222222222
J144731.89+342921.1,221.88287499999996,34.48919444444444
J153144.80+395542.2,232.93666666666664,39.92838888888889
J155829.36+271714.2,239.6223333333333,27.287277777777778
J160451.30+553223.5,241.21375,55.53986111111111
J160541.37+335021.4,241.42237499999996,33.83927777777778
J160730.23+560305.6,241.8759583333333,56.05155555555555
J160738.15+472349.1,241.90895833333332,47.396972222222225
J161003.12+543627.9,242.513,54.60775
J161734.42+490211.9,244.39341666666667,49.03663888888889
J161832.10+431129.6,244.63375,43.19155555555555
J162829.18+432948.6,247.1215833333333,43.496833333333335
J163110.02+384457.4,247.79174999999995,38.74927777777778
J163345.19+441150.1,248.43829166666663,44.19725
J164348.61+390939.1,250.9525416666666,39.16086111111111
J164407.45+491912.0,251.03104166666665,49.32
J165234.96+393733.4,253.14566666666667,39.62594444444444
J165252.60+360057.4,253.21916666666667,36.01594444444444
J170643.86+412109.1,256.68275,41.35252777777778
J211834.39+005322.2,319.64329166666664,0.8895
J212928.91+000415.9,322.3704583333333,0.0710833333333333
J213517.46+002020.4,323.82275,0.3389999999999999
J220946.60-003822.8,332.4441666666666,-0.6396666666666666
J221003.68-005054.7,332.51533333333333,-0.8485277777777778
J221026.83-001721.1,332.61179166666665,-0.2891944444444444
J221055.80-001702.4,332.73249999999996,-0.284
J221301.55-004714.9,333.2564583333333,-0.7874722222222222
J222210.54+203340.7,335.54391666666663,20.561305555555556
J222306.32+194431.6,335.7763333333333,19.74211111111111
J222515.86+212758.3,336.3160833333333,21.466194444444444
J225350.57+193842.6,343.4607083333333,19.645166666666665
J232710.20+245645.9,351.79249999999996,24.946083333333338
J233650.69+004042.5,354.21120833333333,0.6784722222222221
J233830.25+002501.8,354.62604166666665,0.4171666666666667
J235042.15-010425.0,357.67562499999997,-1.073611111111111
J235214.78+005103.3,358.06158333333326,0.8509166666666667
J235439.15+005751.9,358.6631249999999,0.9644166666666666
J235720.13-005830.0,359.333875,-0.975
J235720.19+004012.8,359.334125,0.6702222222222222
P1,239.63538,56.398955
P3,239.54684,40.186957
P6,239.62182,53.117847
P7,239.50104,51.807599
P8,239.40361,14.401098
P10,239.55433,57.701804
P11,239.42547,57.156879
P13,239.59061,37.76976
P14,239.55106,34.869918
P15,239.43885,34.838045
P16,239.52126,31.84621
P17,239.65197,37.391377
P18,239.52279,5.0927527
P19,239.50668,6.7775619
P20,239.61228,6.8669645
P21,239.44153,5.8633803
P22,239.38808,8.5119297
P24,239.48018,33.273866
P28,239.62326,43.532575
P29,239.68628,38.734326
P31,239.53062,4.9237041
P35,239.65819,54.031706
P36,239.63759,2.3214098
P37,239.56577,55.647951
P38,239.56144,54.182128
P39,239.68637,52.849853
P41,239.56404,14.858446
P42,239.5911,12.092564
P43,239.51856,16.373408
P44,239.50295,16.840787
P45,239.65456,20.156569
P46,239.66535,19.953374
P48,239.48613,21.176356
P49,239.50863,24.370176
P50,239.39459,59.555903
P51,239.49993,24.704734
P52,239.6947,22.597126
P53,239.57812,25.856909
P54,239.65741,8.2293932
P55,239.49688,29.338722
P56,239.62235,27.287288
P57,239.65785,28.477516
P58,239.65025,5.7807511
P59,239.4777,2.4964785
P60,239.47365,11.300874
P62,239.42599,10.937677
P64,238.3392,57.405758
P65,238.29113,26.991246
P66,238.16428,38.941638
P67,238.04379,47.681803
P68,238.03651,47.872833
P69,238.20627,40.467396
P70,234.94842,43.22822
P71,238.07803,40.209488
P73,238.02989,52.89642
P74,238.28542,52.085224
P78,235.10603,0.53051888
P79,235.10455,0.0068543143
P80,235.10433,61.958277
P85,238.35335,14.476054
P86,238.32801,17.034152
P87,234.8618,20.049068
P88,238.16507,21.39606
P89,235.16169,21.743674
