umap_x,umap_y,label
0.41880447,7.675807,32
-0.31490615,11.790224,1344
-9.161352,3.8995202,1
-3.4055188,7.9270573,1
-8.341778,7.337819,1
8.831421,14.285479,8
0.34046122,8.498031,1
5.8692365,11.040814,2
-4.2521677,8.779955,1
2.636508,11.037586,1
-9.93475,6.079958,66
-6.266092,5.0482492,1
-9.864393,5.0171423,17
-6.940293,10.145997,1
-0.07184137,7.8862867,1
-6.3018537,4.306371,32
-9.27846,4.660491,1344
1.745081,8.33356,1
1.5994538,13.764427,2
3.6539006,11.369498,1
-8.181677,7.4425073,1
-6.8077774,8.699617,1
1.2729738,13.524015,2
-9.484959,6.9337354,1
1.7915317,7.2446456,16
-6.1843615,4.9017463,1
-2.099888,7.911818,832
-7.607458,6.857656,1344
-9.05869,8.975629,1
-0.54704255,13.987936,2
-7.906627,9.237493,16
-0.76679945,7.6686206,1
0.1723071,13.542701,34
-5.6357675,8.395193,1
-5.051374,3.6615448,832
-5.2507977,9.472319,65
-4.474049,3.9394958,1
5.870767,11.932531,193
3.7142615,10.196075,2
-3.1052272,11.241573,192
-2.9178605,4.3403974,1
-6.921958,3.0748587,8
3.567183,9.9564495,4
-4.5789237,7.4775724,1
-5.378354,7.1169386,1
-5.5979977,10.456995,1
-2.5168636,10.03937,2
0.0040149963,9.4631405,2
-5.860775,6.5665393,1
-9.718069,5.3514714,1
-4.3093944,5.5478945,66
-7.054843,6.141728,1
0.8833887,10.350331,1
-6.683052,7.047429,1
-1.1584603,10.857935,1
-2.5662918,11.837704,16
-3.831056,5.7217994,192
-9.481666,8.456449,832
-10.605318,5.962215,1
-5.5052934,8.425327,34
-6.2274146,10.496341,1
-4.719605,7.8522553,8
-5.992108,6.8362536,8
2.3279002,9.400972,2
3.3818803,8.858758,832
8.068266,12.800571,4
5.0912356,13.206501,2
3.7351007,10.94175,2
-8.717481,8.070823,8
7.301166,18.608816,2048
-6.861882,5.688709,1
-2.672552,4.2648325,1
5.720398,11.076795,4
1.3224263,8.219079,2
-5.1618543,8.211188,1
-8.241415,7.252599,832
1.1356729,11.175945,1
-2.220088,7.1843033,32
8.501596,19.37272,2
-8.756917,2.6678774,8
-10.2326355,5.8834453,1
3.661314,9.205794,66
8.864831,13.951506,8
-8.160975,3.4032042,1
-4.105568,3.8085964,65
-2.1558256,9.400611,16
-6.079352,3.8324704,1
-7.2749724,5.8839097,1
-1.1237735,10.413775,66
-5.048759,7.991459,1
-5.5068436,11.18769,32
-1.2029778,13.034182,4
1.7564465,8.063864,16
6.219828,15.272666,1
3.2020395,13.833364,192
-7.449107,2.7339454,2
-0.2770388,9.439524,192
-4.0306287,3.3778684,65
-3.396374,8.265106,1
-1.5725075,8.004543,832
-11.2718725,6.09036,192
4.986599,9.923811,192
-4.7716265,9.053628,65
-5.680458,6.5994945,1
8.268999,13.172106,4
-3.1154552,11.038319,16
-9.66027,8.279523,1
2.25237,14.15906,2
-6.452697,10.228814,2
3.1452796,14.865142,32
-1.9418464,6.0666943,16
-2.2816062,9.796048,1
-9.742051,7.563015,1
-10.395615,7.40347,1
-6.559653,8.7520275,1
-7.1965117,8.939153,2
-5.2770047,4.287369,1
-4.4689183,9.673669,1
-6.8038836,11.135929,1
-5.681882,4.693425,832
-3.0427978,5.5805645,2
-8.217649,5.602065,1
-3.3198173,3.9826205,849
-7.5623693,7.737044,2
-7.085369,7.7674694,1
-8.154039,6.655172,1
-7.3962603,8.790003,1
-3.4467785,6.998847,2048
9.0013275,18.48569,1
-4.160378,5.9845753,192
-2.9784265,10.918229,1
-4.3114405,11.415318,32
-5.440031,4.941022,1
-7.728751,7.1695566,1
-6.960587,11.645869,1
-7.9240923,8.130275,1
-7.0196733,11.656647,1
-4.7855215,6.9147005,1
