wavelength_um,flux_mjy,flux_err_mjy,wavelength_half_width_um,bandpass,ab_mag,ab_mag_err,object_name,ra_deg,dec_deg,spectrum_type,background_mode,aperture_radius_pix,aperture_radius_arcsec,annulus_inner_radius_pix,annulus_outer_radius_pix,flux_raw_mjy,background_median_mjy_per_pix,variance_ap_mjy2,variance_bg_mjy2,covariance_aperture_background_mjy2,variance_measurement_mjy2,variance_calibration_mjy2,variance_total_mjy2,measurement_method,mask_mode,n_aperture_pixels,n_annulus_pixels,image_names,mjds,flag_names,flag_values,aperture_coverage,aperture_centroid_dra_arcsec,aperture_centroid_ddec_arcsec,annulus_centroid_dra_arcsec,annulus_centroid_ddec_arcsec
1.04027,0.18898,0.045317,0.01389,SPHEREx-D1,18.209,0.260,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.7840,0.16858,0.0018357,0.00029518,0.000045759,0.0020393,0.000014286,0.0020536,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,159,level2_2026W05_1A_0580_3D1_spx_l2b-v23-2026-030.fits,61068.68907900,SOURCE:17,0:1;2097152:17,1,-0.998,-0.688,0.697,0.680
1.04359,0.38416,0.044298,0.01390,SPHEREx-D1,17.439,0.125,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.5644,0.12474,0.0016835,0.00032039,0.000050302,0.0019032,0.000059031,0.0019623,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,162,level2_2025W29_1A_0366_4D1_spx_l2b-v20-2025-260.fits,60871.95501900,SOURCE:13,0:3;2097152:13,1,0.387,0.447,3.864,7.203
1.04454,0.33711,0.048907,0.01386,SPHEREx-D1,17.581,0.158,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.9441,0.16993,0.0020860,0.00033441,0.000037007,0.0023464,0.000045458,0.0023918,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,161,level2_2026W04_1A_0431_3D1_spx_l2b-v23-2026-023.fits,61061.15273000,SOURCE:17,0:1;2097152:17,1,0.544,-0.738,2.834,9.872
1.05710,0.67139,0.051041,0.01399,SPHEREx-D1,16.833,0.083,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,1.8714,0.12687,0.0020503,0.00026443,-0.000055112,0.0024249,0.00018031,0.0026052,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,167,level2_2026W29_2A_0633_1D1_spx_l2b-v25-2026-206.fits,61240.66019800,SOURCE:18,0:1;2097152:18,1,0.458,-0.693,2.710,4.422
1.06455,0.64585,0.076786,0.01431,SPHEREx-D1,16.875,0.129,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,4.1561,0.37092,0.0040186,0.0014602,-0.00012525,0.0057293,0.00016685,0.0058961,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,173,level2_2026W05_1A_0580_4D1_spx_l2b-v23-2026-030.fits,61068.69057200,SOURCE:18,2097152:18,1,0.188,-0.672,-12.914,-19.104
1.06912,0.29268,0.13687,0.01415,SPHEREx-D1,17.734,0.508,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,12.208,1.2593,0.011374,0.010047,0.0013602,0.018700,0.000034264,0.018734,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,21,154,level2_2026W04_1A_0431_4D1_spx_l2b-v23-2026-023.fits,61061.15422300,SOURCE:20,0:1;2097152:20,1,-0.138,-1.022,-9.343,-24.797
1.08243,0.32798,0.057575,0.01439,SPHEREx-D1,17.610,0.191,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,3.0624,0.28882,0.0028232,0.00036553,-0.000041523,0.0032718,0.000043029,0.0033148,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,162,level2_2026W30_1B_0011_1D1_spx_l2b-v27-2026-222.fits,61241.06305300,,0:1;2097152:17,1,1.226,-0.911,-1.359,-5.073
1.08993,0.13341,0.084067,0.01464,SPHEREx-D1,18.587,0.684,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,6.2280,0.64448,0.0057015,0.0010342,-0.00016223,0.0070601,0.0000071194,0.0070672,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,167,level2_2026W05_2A_0052_1D1_spx_l2b-v23-2026-034.fits,61069.70400800,SOURCE:18,2097152:18,1.0000000000000002,2.965,0.190,4.534,10.235
1.09379,0.26571,0.052666,0.01463,SPHEREx-D1,17.839,0.215,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,2.5407,0.24048,0.0024629,0.00043011,0.000073764,0.0027454,0.000028240,0.0027737,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,169,level2_2025W29_1A_0517_2D1_spx_l2b-v20-2025-260.fits,60872.76755200,SOURCE:13,0:6;2097152:13,1,1.507,-2.214,-6.138,-11.908
1.09470,-0.18985,0.094682,0.01439,SPHEREx-D1,,,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,6.5400,0.71212,0.0055517,0.0036482,0.00012482,0.0089503,0.000014417,0.0089647,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,154,level2_2026W05_2A_0020_1D1_spx_l2b-v23-2026-034.fits,61069.56990000,SOURCE:16,2097152:16,1,1.287,0.669,11.808,23.094
1.09815,0.20236,0.042022,0.01266,SPHEREx-D2,18.135,0.225,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,1.4409,0.13049,0.0014973,0.00031601,0.000031925,0.0017494,0.000016380,0.0017658,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,173,level2_2026W29_2A_0239_3D2_spx_l2b-v25-2026-206.fits,61238.68971100,SOURCE:16,0:3;2097152:16,0.9999999999999998,0.067,-0.708,-1.311,-3.183
1.10266,0.18166,0.043335,0.01282,SPHEREx-D2,18.252,0.259,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.7056,0.16046,0.0017581,0.00030249,0.000097922,0.0018647,0.000013200,0.0018779,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,161,level2_2026W06_2A_0120_3D2_spx_l2b-v23-2026-040.fits,61077.03870700,SOURCE:18,2097152:18,1,1.595,-2.180,7.062,-6.794
1.10811,0.25456,0.042364,0.01481,SPHEREx-D1,17.886,0.181,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.4679,0.12798,0.0014311,0.00030132,-0.000018214,0.0017688,0.000025921,0.0017947,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,165,level2_2026W30_1B_0011_2D1_spx_l2b-v27-2026-222.fits,61241.06454600,,0:1;2097152:17,1,1.251,-0.900,3.355,9.583
1.10916,0.23159,0.040347,0.01308,SPHEREx-D2,17.988,0.189,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.3469,0.11747,0.0013995,0.00021829,0.0000056830,0.0016065,0.000021454,0.0016279,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,177,level2_2025W29_1A_0504_1D2_spx_l2b-v20-2025-260.fits,60872.69956500,SOURCE:19,2097152:19,1,0.774,-1.043,1.911,4.280
1.11561,0.24142,0.047098,0.01496,SPHEREx-D1,17.943,0.212,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.8619,0.17141,0.0019687,0.00027971,0.000026778,0.0021949,0.000023314,0.0022182,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,163,level2_2026W05_2A_0052_2D1_spx_l2b-v23-2026-034.fits,61069.70550000,SOURCE:17,0:1;2097152:17,0.9999999999999998,1.152,-0.003,2.942,7.851
1.12395,0.20274,0.041667,0.01323,SPHEREx-D2,18.133,0.223,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,1.3871,0.12469,0.0014433,0.00029171,0.0000076591,0.0017197,0.000016442,0.0017361,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,168,level2_2026W29_2A_0239_4D2_spx_l2b-v25-2026-206.fits,61238.69120300,SOURCE:18,2097152:18,1,1.304,-2.524,3.117,6.415
1.12832,0.29170,0.045228,0.01337,SPHEREx-D2,17.738,0.168,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,1.7363,0.15235,0.0017810,0.00028040,0.000024935,0.0020115,0.000034035,0.0020455,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,171,level2_2026W06_2A_0290_1D2_spx_l2b-v23-2026-040.fits,61077.91938600,SOURCE:17,0:1;2097152:17,0.9999999999999998,0.714,-0.936,3.069,6.738
