name,ra_01,dec_01,ra,dec,dist_x,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags
P1823,245.16306,43.137382,245.1629551,43.1373526,0.295197,57425.83298603,14.333,0.068,13.027,0.059,10,0000
P1823,245.16306,43.137382,245.1629003,43.1373276,0.462988,57425.89856539,14.326,0.057,13.105,0.072,10,0000
P1823,245.16306,43.137382,245.162993,43.1374122,0.206878,57425.96414471,14.235,0.063,13.109,0.076,10,0000
P1823,245.16306,43.137382,245.1630318,43.1373768,0.076409,57426.02972398,14.363,0.061,13.118,0.076,10,0000
P1823,245.16306,43.137382,245.163102,43.1373981,0.12463,57426.09517598,14.281,0.067,13.102,0.077,10,0000
P1823,245.16306,43.137382,245.1630918,43.1374281,0.185799,57426.0953033,14.368,0.063,13.069,0.071,5,0000
P1823,245.16306,43.137382,245.1631053,43.1374256,0.196972,57426.1607553,14.337,0.067,13.148,0.066,10,0000
P1823,245.16306,43.137382,245.1630697,43.1373708,0.047697,57426.22633457,14.349,0.063,13.039,0.061,10,0000
P1823,245.16306,43.137382,245.1631369,43.1373899,0.204007,57426.29191389,14.375,0.078,13.497,0.127,5,0000
P1823,245.16306,43.137382,245.1631028,43.1374197,0.176243,57426.35749321,14.319,0.057,12.964,0.091,10,0000
P1823,245.16306,43.137382,245.1631153,43.1373642,0.158777,57426.4229452,14.117,0.104,13.124,0.069,10,0000
P1823,245.16306,43.137382,245.1631371,43.1374497,0.316894,57426.42307257,14.342,0.077,12.984,0.068,10,0000
P1823,245.16306,43.137382,245.1630796,43.1374284,0.174795,57426.48852451,14.309,0.059,13.067,0.071,10,0000
P1823,245.16306,43.137382,245.1630634,43.1373006,0.293176,57426.55410383,14.331,0.061,12.994,0.075,10,0000
P1823,245.16306,43.137382,245.1631019,43.1373353,0.200947,57426.68526237,14.377,0.066,13.078,0.067,5,0000
P1823,245.16306,43.137382,245.1630716,43.1371798,0.728558,57426.81629369,14.228,0.066,12.929,0.071,10,0000
P1823,245.16306,43.137382,245.1630575,43.1373989,0.061193,57426.94745233,14.329,0.057,13.032,0.063,10,0000
P1823,245.16306,43.137382,245.1631439,43.1374612,0.360376,57594.68902024,14.421,0.064,12.991,0.061,10,0000
P1823,245.16306,43.137382,245.1631124,43.1373952,0.145625,57594.82005082,14.473,0.065,13.076,0.096,10,0000
P1823,245.16306,43.137382,245.1630091,43.1373342,0.217924,57594.9510814,14.514,0.08,12.997,0.069,10,0000
P1823,245.16306,43.137382,245.1629827,43.1374839,0.419294,57595.01653303,14.594,0.073,13.204,0.071,5,0000
