objectid,label_bits,labels,umap_x,umap_y,fvar_w1,mean_w1_mjy,max_w1_mjy,clagn_score,is_known_clagn,in_region_clagn,in_region_zeltyn
7794,2,WISE_Variable,14.423264,-1.9879961,0.18137760741492437,0.4152068431807903,0.504024998388191,0.16,False,True,False
7795,2,WISE_Variable,12.543261,-3.22404,0.08636508158845566,0.12231935568565092,0.13271544010791958,0.06,False,False,False
7796,2,WISE_Variable,22.84273,2.2997482,0.40819761706528773,1.1304981076209895,1.5818561349270341,0.02,False,False,False
7797,2,WISE_Variable,10.303648,3.7939854,0.15556247551815497,0.3180664094882866,0.4098558241004966,0.34,False,True,False
7798,2,WISE_Variable,16.087315,-0.3510054,0.17167047330578283,2.3017348032273253,2.739964476086763,0.02,False,False,False
7799,2,WISE_Variable,13.210992,-2.0337858,0.1074417225733212,0.3886549259606696,0.44435779600218694,0.08,False,False,False
7800,2,WISE_Variable,10.572516,2.0654721,0.1218702654189315,0.49411059763060905,0.6218549590093314,0.1,False,False,False
7801,2,WISE_Variable,9.245468,-0.63626397,0.05349656119327464,0.8209380399617775,0.9213533619268103,0.06,False,False,False
7802,2,WISE_Variable,20.526075,2.4831066,0.4164815093023529,0.7507437539441526,1.1910483012824344,0.04,False,False,False
7804,2,WISE_Variable,12.033928,-2.674477,0.09874813821399213,0.7099773930634785,0.7871839476945013,0.06,False,False,False
7805,2,WISE_Variable,22.874126,5.309637,0.5396243349622687,0.25832775616412146,0.39785528412549587,0.04,False,False,False
7806,2,WISE_Variable,19.523848,0.5311182,0.2114390418888392,1.1218258189462376,1.4654234934932564,0.02,False,False,False
7807,2,WISE_Variable,2.1832993,-0.21617542,,0.11398136269372236,0.11412043304813713,0.0,False,False,False
7808,2,WISE_Variable,14.8228245,-1.1418707,0.1923738601772624,0.9820028235387092,1.1957065219107115,0.2,False,False,False
7809,2,WISE_Variable,14.766448,-2.2546172,0.13362004899350052,1.1962258835777213,1.6313332190445986,0.16,False,True,False
7810,2,WISE_Variable,20.199562,9.494059,0.37016057371223127,0.7318809228445765,1.3065794379758424,0.18,False,False,False
7811,2,WISE_Variable,11.877433,-2.999251,0.0834631558953595,0.5233981011587191,0.5974683628213135,0.02,False,False,True
7812,2,WISE_Variable,20.354197,3.680453,0.21728014439484628,2.8055233175672374,3.7199015127331663,0.04,False,False,False
7813,2,WISE_Variable,18.737486,2.399722,0.2863486954223122,1.4825392630320127,2.0667206272465517,0.06,False,False,False
7814,2,WISE_Variable,19.065693,2.9597003,0.17279854114330964,1.5593996562134913,2.0054968407051668,0.06,False,False,False
7815,2,WISE_Variable,12.686765,-0.6276918,,1.5256648344004076,2.064669540306113,0.1,False,False,False
7816,2,WISE_Variable,15.189,7.328778,0.48735630723618356,0.45840027379209775,1.2488862847913682,0.06,False,False,False
7817,2,WISE_Variable,13.453279,-2.6768696,0.09280767788856685,0.7787295651991925,0.9003726262118552,0.1,False,False,False
7818,2,WISE_Variable,9.068988,1.6552411,0.08042128865394434,0.8204048401548402,0.9356137129026934,0.1,False,False,True
7819,2,WISE_Variable,20.63949,1.5986139,0.2982553818794657,0.4937885727203873,0.8018538773188055,0.02,False,False,False
7820,2,WISE_Variable,14.771228,3.0908816,0.22737957136488496,0.28465859400384996,0.4266375370020832,0.28,False,True,False
7821,2,WISE_Variable,16.718895,0.25919938,0.07524559515289854,3.7321367668299246,4.984921628918968,0.02,False,False,False
7823,2,WISE_Variable,18.180887,6.534634,0.4038055390860254,0.7038782205492422,1.0311642688129972,0.0,False,False,False
7824,2,WISE_Variable,9.888057,-2.166009,0.040351577154144384,1.4569372955446034,1.6003277624811107,0.0,False,False,False
7825,2,WISE_Variable,6.3956394,-0.9904735,,0.055485971607223725,0.0573228503466733,0.0,False,False,False
7826,2,WISE_Variable,21.677107,7.58727,0.30669780844752775,1.451913514653749,2.109401926133294,0.06,False,False,False
7827,2,WISE_Variable,13.123742,-3.3524127,0.09491097002655696,0.8235767247857737,0.9453714239928104,0.08,False,False,False
7828,2,WISE_Variable,14.235246,-1.6411766,0.15450588369974258,0.5652103180972757,0.6731876476908285,0.18,False,False,False
7829,2,WISE_Variable,9.188692,-0.60666096,0.045543712983302245,0.3967917024501817,0.4392760856022082,0.06,False,False,False
7830,2,WISE_Variable,8.183305,-2.1191075,0.023589581723777227,1.3037283381167803,1.4254002983934129,0.0,False,False,False
7831,2,WISE_Variable,20.891706,4.406829,0.2763505692257845,1.2561569951786304,1.6608222939388109,0.02,False,False,False
7832,2,WISE_Variable,10.508908,1.3266096,0.1057186019438082,1.0698880492921838,1.3073953358334194,0.04,False,False,False
7833,2,WISE_Variable,13.085969,-2.9829814,0.10010483389746305,0.7075506243609655,0.8577547381458999,0.06,False,False,False
7834,2,WISE_Variable,10.777167,2.565478,0.10563280226279866,0.6617565242974438,0.8192380691313854,0.16,False,False,False
7835,2,WISE_Variable,12.918921,4.040493,0.2225376388051725,0.43254869021137055,0.6780948853875248,0.36,False,True,False
7836,2,WISE_Variable,15.644313,6.997009,0.396762991179052,0.3612672957444215,0.6954923603193066,0.08,False,False,False
7837,2,WISE_Variable,13.827694,-2.5732014,0.10351234923770485,0.3444689288412469,0.3903759340966255,0.14,False,False,False
7838,2,WISE_Variable,18.924236,5.748451,0.3916518534801561,0.3195198604775224,0.5016226371742301,0.08,False,False,False
7839,2,WISE_Variable,18.669323,3.4322155,0.2768406635103555,0.5835440118719892,0.7954072209496825,0.04,False,False,False
7840,2,WISE_Variable,10.564086,1.4812447,0.11289470281936044,0.7148646148559707,0.8592693714603854,0.02,False,False,False
7841,2,WISE_Variable,7.3646703,0.8529621,0.04002067882324767,0.27476338740526474,0.30010801388988284,0.06,False,False,True
7843,2,WISE_Variable,17.340488,1.4667612,0.200482959734105,0.5960807468791675,1.1042881704546232,0.14,False,False,False
7844,2,WISE_Variable,13.505047,2.903941,0.14160498536586313,0.4693615908307768,0.5656665235623769,0.22,False,False,False
7846,2,WISE_Variable,10.243998,-2.1261008,0.055446736573067236,0.8203590038684959,0.8870401541647368,0.0,False,False,False
7847,2,WISE_Variable,22.78041,3.8642254,0.461277021787009,0.9265731808251866,1.4190132737588357,0.02,False,False,False
7848,2,WISE_Variable,19.634394,3.9332125,0.21611269844941774,0.7336705073025438,0.9808269961535266,0.06,False,False,False
7849,2,WISE_Variable,10.954873,0.6077743,0.07619567743732865,0.7318798968936031,0.8715598545722951,0.06,False,False,False
7850,2,WISE_Variable,9.981913,2.033444,0.08534917542413303,1.5582643883174838,1.8906019733691326,0.1,False,False,False
7851,2,WISE_Variable,10.413634,-1.0188881,0.07373556673514749,1.4973817034749566,1.6028120475973537,0.06,False,False,False
7852,2,WISE_Variable,14.44935,-0.20248635,0.10258876766782773,0.5496598781636712,0.7907372623040274,0.14,False,False,False
7853,2,WISE_Variable,22.24891,4.83945,0.3836553531916579,0.6678502286478489,1.0111238683452877,0.04,False,False,False
7854,2,WISE_Variable,16.884565,3.2364292,0.328879116181663,5.243144863857363,7.631966510989699,0.14,False,False,False
7855,2,WISE_Variable,11.461177,0.6334644,0.07214756367170233,1.0797188828138136,1.2437533081357928,0.04,False,False,False
7856,2,WISE_Variable,9.59394,-0.2043823,0.06127716866861444,0.6684217714225339,0.7598510898209909,0.06,False,False,False
7857,2,WISE_Variable,13.766297,5.0681467,0.15959220626269083,0.5624061701840416,0.9318982941604128,0.36,False,True,False
7858,2,WISE_Variable,17.530945,7.3307867,0.31925779677146154,0.4351626307644271,0.6124821332246952,0.06,False,False,False
7859,2,WISE_Variable,15.759587,0.7051826,0.20719569290975498,0.4289302291135826,0.592749958539251,0.02,False,False,False
7860,2,WISE_Variable,12.699933,-3.307405,0.09915393140182911,0.6802775729772972,0.7602225903544007,0.04,False,False,False
7861,2,WISE_Variable,15.018142,1.3226043,0.12290198676477483,1.250377798078134,1.508316863822209,0.12,False,False,False
7862,2,WISE_Variable,15.335395,-0.038788423,0.09925098069401374,1.0817936492369875,1.3603185458501592,0.06,False,False,False
7863,2,WISE_Variable,14.892619,6.8495264,0.21270757847132724,0.3020112053758452,0.6157481726024625,0.12,False,False,False
7864,2,WISE_Variable,12.12946,-2.565035,0.0802881573607297,0.7688345508288956,0.890761420790966,0.06,False,False,False
7865,2,WISE_Variable,10.695506,-1.3164481,0.07970670937269271,0.8848121815524493,1.0408551051151276,0.02,False,False,False
7866,2,WISE_Variable,9.873957,3.0464952,0.10768684888332336,0.7880605984795361,0.9249283430270907,0.16,False,False,True
7867,2,WISE_Variable,13.250158,-2.9120557,0.10710679911787707,0.29683174384173494,0.35413611820192514,0.08,False,False,False
7868,2,WISE_Variable,11.101776,0.917475,0.09669569134728924,0.49896925601438546,0.5801430169992954,0.02,False,False,False
7869,2,WISE_Variable,13.51775,0.6195475,0.12345421846014766,0.7524960108051365,0.8758014682101845,0.16,False,False,False
7870,2,WISE_Variable,19.03472,6.126764,0.20956300402740208,1.1400671194798235,1.5352775647250727,0.02,False,False,False
7871,2,WISE_Variable,7.6859517,0.72544473,0.04281944481955767,1.3167620212117073,1.4007506490556807,0.06,False,False,True
7872,2,WISE_Variable,16.206015,3.2940357,0.2678259903347925,0.5376975615129073,0.7105595022826634,0.22,False,True,False
7873,2,WISE_Variable,19.104181,7.050053,0.15009322172763864,0.4340556490159724,0.6389740559158015,0.02,False,False,False
7874,2,WISE_Variable,8.329773,0.0325701,0.03717219377677904,0.627638188158197,0.6850097643759119,0.02,False,False,False
7875,2,WISE_Variable,21.179342,4.8927255,0.31002837348206713,0.7574236608555248,1.0299351729508501,0.02,False,False,False
7876,2,WISE_Variable,10.307451,3.3178608,0.13665758054039492,0.6285279533333136,0.8463089920699627,0.26,False,True,False
7877,2,WISE_Variable,8.718046,1.1711003,0.035324124782073675,0.15439450251582684,0.16908315666336837,0.08,False,False,False
7878,2,WISE_Variable,10.687229,0.8366921,0.07799570937173116,0.5515708102520296,0.6482179534076045,0.08,False,False,False
7879,2,WISE_Variable,14.959153,-0.5153437,0.20618640098664212,1.0707420855017404,1.450106097038372,0.14,False,False,False
7880,2,WISE_Variable,19.39445,0.9145468,0.31123460865368346,0.7769095611095385,1.1070786644783226,0.02,False,False,False
7881,18,WISE_Variable+Turn-on,15.562601,4.0414014,0.5019059745211331,0.5810350212439348,1.021315797468158,0.22,True,True,False
7882,2,WISE_Variable,11.748203,2.6095266,0.1467881781782469,0.9240016884894416,1.0705800552798905,0.2,False,False,False
7883,2,WISE_Variable,17.829807,7.310198,0.2609587253352798,0.48572624434750133,0.6952923604041339,0.02,False,False,False
7884,2,WISE_Variable,15.841208,2.1094887,0.17585983491525073,1.0769331136452844,1.341787166669909,0.14,False,False,False
7885,2,WISE_Variable,12.116651,-1.3695226,0.07437589399628791,0.6560246525714413,0.7296805796672476,0.12,False,False,False
7886,2,WISE_Variable,11.249767,3.3266613,0.1357608863521337,0.4381499151604048,0.6127573774723066,0.34,False,True,False
7887,2,WISE_Variable,12.688628,1.5865064,0.11542500356701725,1.6035381954963022,1.9894347725505253,0.14,False,False,False
7888,2,WISE_Variable,1.4943849,-1.16865,,0.09127550472263665,0.09144202801432595,0.0,False,False,False
